paper_id,title,year,venue,doi,arxiv_id,publication_status,metadata_audit_tier,metadata_source_url,evidence_source
P011,CLDTracker: A Comprehensive Language Description for Visual Tracking,2025,Information Fusion,10.1016/j.inffus.2025.103374,2505.23704,peer-reviewed journal,METADATA_CANONICALIZED,https://doi.org/10.1016/j.inffus.2025.103374,E01;E27
P012,Context-Aware Token Pruning and Discriminative Selective Attention for Transformer Tracking,2026,Journal of Visual Communication and Image Representation,10.1016/j.jvcir.2026.104884,2511.19928,peer-reviewed journal,PRIMARY_VERIFIED_HIGH_RELEVANCE,https://doi.org/10.1016/j.jvcir.2026.104884,E02;E27
P013,Correlation-Embedded Transformer Tracking: A Single-Branch Framework,2024,IEEE Transactions on Pattern Analysis and Machine Intelligence,10.1109/tpami.2024.3448254,2401.12743,peer-reviewed journal,METADATA_CANONICALIZED,https://doi.org/10.1109/tpami.2024.3448254,E01;E02;E27
P014,CSCL: Bridging the plasticity-stability gap in continuous supervised contrastive learning,2026,Neural Networks,10.1016/j.neunet.2025.108179,UNKNOWN,peer-reviewed journal,METADATA_CANONICALIZED,https://doi.org/10.1016/j.neunet.2025.108179,E01;E27
P015,DATrack: direction attention based transformer tracker,2025,Applied Intelligence,10.1007/s10489-025-06791-w,UNKNOWN,peer-reviewed journal,METADATA_CANONICALIZED,https://doi.org/10.1007/s10489-025-06791-w,E02;E27
P016,DeTrack: In-model Latent Denoising Learning for Visual Object Tracking,2024,NeurIPS 2024,10.52202/079017-2875,2501.02467,peer-reviewed conference,METADATA_CANONICALIZED,https://proceedings.neurips.cc/paper_files/paper/2024/hash/a4c680b456b9750003c8a494a5b165dc-Abstract-Conference.html,E01;E27
P017,Discriminative Pruning Networks for Visual Tracking with Adaptive Foreground Prediction,2025,2025 International Joint Conference on Neural Networks (IJCNN),10.1109/ijcnn64981.2025.11227771,UNKNOWN,peer-reviewed conference,METADATA_CANONICALIZED,https://doi.org/10.1109/ijcnn64981.2025.11227771,E02;E27
P018,Efficient and Accurate Low-Resolution Transformer Tracking,2025,2025 IEEE/RSJ International Conference on Intelligent Robots and Systems (IROS),10.1109/iros60139.2025.11247730,2405.17660,peer-reviewed conference,METADATA_CANONICALIZED,https://doi.org/10.1109/iros60139.2025.11247730,E01;E02;E27
P019,Efficient Training for Visual Tracking with Deformable Transformer,2023,ArXiv,10.48550/arxiv.2309.02676,2309.02676,arXiv/preprint only,ARXIV_ONLY_VERIFIED,https://doi.org/10.48550/arxiv.2309.02676,E02;E27
P020,Enhancing the Two-Stream Framework for Efficient Visual Tracking,2025,IEEE Transactions on Image Processing,10.1109/tip.2025.3598934,UNKNOWN,peer-reviewed journal,METADATA_CANONICALIZED,https://doi.org/10.1109/tip.2025.3598934,E01;E27
P021,EnTeR-Track: Efficient UAV tracking via entropy-guided pruning and reversible token recovery,2026,Neurocomputing,10.1016/j.neucom.2026.134151,UNKNOWN,peer-reviewed journal,METADATA_CANONICALIZED,https://doi.org/10.1016/j.neucom.2026.134151,E01;E27
P022,Exploiting Lightweight Hierarchical ViT and Dynamic Framework for Efficient Visual Tracking,2025,International Journal of Computer Vision,10.1007/s11263-025-02500-9,2506.20381,peer-reviewed journal,METADATA_CANONICALIZED,https://doi.org/10.1007/s11263-025-02500-9,E01;E27
P023,Exploring Dynamic Transformer for Efficient Object Tracking,2025,IEEE Transactions on Neural Networks and Learning Systems,10.1109/tnnls.2025.3545752,2403.17651,peer-reviewed journal,PRIMARY_VERIFIED_HIGH_RELEVANCE,https://doi.org/10.1109/tnnls.2025.3545752,E01;E02;E27
P024,Exploring Efficient and Effective Sequence Learning for Visual Object Tracking,2025,Proceedings of the Thirty-Fourth International Joint Conference on Artificial Intelligence,10.24963/ijcai.2025/153,UNKNOWN,peer-reviewed conference,PRIMARY_VERIFIED_HIGH_RELEVANCE,https://doi.org/10.24963/ijcai.2025/153,E01;E02;E27
P025,Exploring Enhanced Contextual Information for Video-Level Object Tracking,2025,AAAI 2025,10.1609/aaai.v39i4.32440,2412.11023,peer-reviewed conference,PRIMARY_VERIFIED_HIGH_RELEVANCE,https://ojs.aaai.org/index.php/AAAI/article/view/32440,E01;E27
P026,Exploring Lightweight Hierarchical Vision Transformers for Efficient Visual Tracking,2023,2023 IEEE/CVF International Conference on Computer Vision (ICCV),10.1109/iccv51070.2023.00881,2308.06904,peer-reviewed conference,PRIMARY_VERIFIED_HIGH_RELEVANCE,https://doi.org/10.1109/iccv51070.2023.00881,E01;E02;E27
P027,Exploring Pruning-Based Efficient Object Tracking via Hybrid Knowledge Distillation,2026,IEEE Transactions on Circuits and Systems for Video Technology,10.1109/tcsvt.2025.3609410,UNKNOWN,peer-reviewed journal,METADATA_CANONICALIZED,https://doi.org/10.1109/tcsvt.2025.3609410,E01;E27
P028,FARTrack: Fast Autoregressive Visual Tracking with High Performance,2026,ICLR 2026,UNKNOWN,2602.03214,peer-reviewed conference,PRIMARY_VERIFIED_HIGH_RELEVANCE,https://openreview.net/forum?id=lq7Zfr8kAS,E01;E27
P029,FETrack: One-stream framework-based feature enhancement for object tracking,2026,Digital Signal Processing,10.1016/j.dsp.2026.105935,UNKNOWN,peer-reviewed journal,METADATA_CANONICALIZED,https://doi.org/10.1016/j.dsp.2026.105935,E01;E27
P030,Fine-grained visual tracking via distribution-aware mask modeling and temporal propagation,2025,Knowledge-Based Systems,10.1016/j.knosys.2025.114208,UNKNOWN,peer-reviewed journal,METADATA_CANONICALIZED,https://doi.org/10.1016/j.knosys.2025.114208,E01;E27
P031,Foreground-Background Distribution Modeling Transformer for Visual Object Tracking,2023,2023 IEEE/CVF International Conference on Computer Vision (ICCV),10.1109/iccv51070.2023.00928,UNKNOWN,peer-reviewed conference,METADATA_CANONICALIZED,https://doi.org/10.1109/iccv51070.2023.00928,E02;E27
P032,FSTrack: Visual tracking with feature fusion and adaptive selection,2026,Expert Systems with Applications,10.1016/j.eswa.2025.129895,UNKNOWN,peer-reviewed journal,METADATA_CANONICALIZED,https://doi.org/10.1016/j.eswa.2025.129895,E01;E27
P033,Fully Spiking Neural Networks for Unified Frame-Event Object Tracking,2025,NeurIPS 2025,10.48550/arxiv.2505.20834,2505.20834,peer-reviewed conference,PRIMARY_VERIFIED_HIGH_RELEVANCE,https://proceedings.neurips.cc/paper_files/paper/2025/hash/af752cfbdcc6fd3e4cd0eea9f1ad0fab-Abstract-Conference.html,E02;E27
P034,General Compression Framework for Efficient Transformer Object Tracking,2025,ICCV 2025,10.1109/iccv51701.2025.01247,2409.17564,peer-reviewed conference,PRIMARY_VERIFIED_HIGH_RELEVANCE,https://doi.org/10.1109/iccv51701.2025.01247,E01;E27
P035,Generalized Relation Modeling for Transformer Tracking,2023,2023 IEEE/CVF Conference on Computer Vision and Pattern Recognition (CVPR),10.1109/cvpr52729.2023.01792,2303.16580,peer-reviewed conference,METADATA_CANONICALIZED,https://doi.org/10.1109/cvpr52729.2023.01792,E02;E27
P036,GOT-Edit: Geometry-Aware Generic Object Tracking via Online Model Editing,2026,ICLR 2026,UNKNOWN,2602.08550,peer-reviewed conference,METADATA_CANONICALIZED,https://proceedings.iclr.cc/paper_files/paper/2026/hash/519c51529c3544b3430bd8b17d400365-Abstract-Conference.html,E01;E27
P037,High-Performance Discriminative Tracking with Spatio-Temporal Template Fusion,2025,Proceedings of the 33rd ACM International Conference on Multimedia,10.1145/3746027.3755721,UNKNOWN,peer-reviewed conference,METADATA_CANONICALIZED,https://doi.org/10.1145/3746027.3755721,E02;E27
P038,Implicit Motion State Modeling for Efficient and Effective Video-Level Object Tracking,2026,Expert Systems with Applications,10.1016/j.eswa.2026.132083,UNKNOWN,peer-reviewed journal,METADATA_CANONICALIZED,https://doi.org/10.1016/j.eswa.2026.132083,E01;E27
P039,Improving Visual Object Tracking Through Visual Prompting,2025,IEEE Transactions on Multimedia,10.1109/tmm.2025.3535323,2409.18901,peer-reviewed journal,METADATA_CANONICALIZED,https://doi.org/10.1109/tmm.2025.3535323,E01;E27
P040,Joint Feature Learning and Relation Modeling for Tracking: A One-Stream Framework,2022,ECCV 2022,10.1007/978-3-031-20047-2_20,2203.11991,peer-reviewed conference,METADATA_CANONICALIZED,https://www.ecva.net/papers/eccv_2022/papers_ECCV/papers/136820332.pdf,E02;E27
P041,Joint position and appearance feature modeling for accurate visual tracking,2026,Applied Soft Computing,10.1016/j.asoc.2025.114460,UNKNOWN,peer-reviewed journal,METADATA_CANONICALIZED,https://doi.org/10.1016/j.asoc.2025.114460,E01;E27
P042,HIPTrack: Visual Tracking with Historical Prompts,2024,CVPR 2024,UNKNOWN,2311.02072,peer-reviewed conference,METADATA_CANONICALIZED,https://openaccess.thecvf.com/content/CVPR2024/html/Cai_HIPTrack_Visual_Tracking_with_Historical_Prompts_CVPR_2024_paper.html,E02;E27
P043,Linker: Learning Long Short-term Associations for Robust Visual Tracking,2024,IEEE Transactions on Multimedia,10.1109/tmm.2023.3347644,UNKNOWN,peer-reviewed journal,METADATA_CANONICALIZED,https://doi.org/10.1109/tmm.2023.3347644,E02;E27
P044,LiteTrack: Layer Pruning with Asynchronous Feature Extraction for Lightweight and Efficient Visual Tracking,2024,ICRA 2024,10.1109/icra57147.2024.10610022,2309.09249,peer-reviewed conference,PRIMARY_VERIFIED_HIGH_RELEVANCE,https://doi.org/10.1109/icra57147.2024.10610022,E01;E27
P045,Local Feature Enhancement based One-Stream Transformer Tracking,2025,"2025 6th International Conference on Computer Vision, Image and Deep Learning (CVIDL)",10.1109/cvidl65390.2025.11086075,UNKNOWN,peer-reviewed conference,METADATA_CANONICALIZED,https://doi.org/10.1109/cvidl65390.2025.11086075,E02;E27
P046,Masked Mutual Guidance Transformer Tracking,2024,2024 IEEE/RSJ International Conference on Intelligent Robots and Systems (IROS),10.1109/iros58592.2024.10801735,UNKNOWN,peer-reviewed conference,METADATA_CANONICALIZED,https://doi.org/10.1109/iros58592.2024.10801735,E02;E27
P047,MCTrack: Multi-cue spatio-temporal object tracking,2026,Expert Systems with Applications,10.1016/j.eswa.2025.129984,UNKNOWN,peer-reviewed journal,METADATA_CANONICALIZED,https://doi.org/10.1016/j.eswa.2025.129984,E01;E27
P048,MixFormerV2: Efficient Fully Transformer Tracking,2023,NeurIPS 2023,10.48550/arxiv.2305.15896,2305.15896,peer-reviewed conference,PRIMARY_VERIFIED_HIGH_RELEVANCE,https://proceedings.neurips.cc/paper_files/paper/2023/hash/b7870bd43b2d133a1ed95582ae5d82a4-Abstract.html,E01;E27
P049,MPTrack: Visual Tracking with Reliable Motion Prompts,2024,Proceedings of the 2024 International Conference on Artificial Intelligence of Things and Computing,10.1145/3708282.3708292,UNKNOWN,peer-reviewed conference,METADATA_CANONICALIZED,https://doi.org/10.1145/3708282.3708292,E02;E27
P050,Multi-State Tracker: Enhancing Efficient Object Tracking via Multi-State Specialization and Interaction,2025,Proceedings of the 33rd ACM International Conference on Multimedia,10.1145/3746027.3755310,2508.11531,peer-reviewed conference,METADATA_CANONICALIZED,https://doi.org/10.1145/3746027.3755310,E02;E27
P051,Optimized Information Flow for Transformer Tracking,2024,ArXiv,10.48550/arxiv.2402.08195,2402.08195,arXiv/preprint only,ARXIV_ONLY_VERIFIED,https://doi.org/10.48550/arxiv.2402.08195,E02;E27
P052,Optimizing intrinsic representation for tracking,2024,Knowledge-Based Systems,10.1016/j.knosys.2024.111955,UNKNOWN,peer-reviewed journal,PRIMARY_VERIFIED_HIGH_RELEVANCE,https://doi.org/10.1016/j.knosys.2024.111955,E02;E27;E25
P053,PlanarTrack: A Large-scale Challenging Benchmark for Planar Object Tracking,2023,2023 IEEE/CVF International Conference on Computer Vision (ICCV),10.1109/iccv51070.2023.01870,2303.07625,peer-reviewed conference,METADATA_CANONICALIZED,https://doi.org/10.1109/iccv51070.2023.01870,E02;E27
P054,Positive-Sample-Free Object Tracking via a Soft Constraint,2024,IEEE Transactions on Circuits and Systems for Video Technology,10.1109/tcsvt.2023.3294580,UNKNOWN,peer-reviewed journal,METADATA_CANONICALIZED,https://doi.org/10.1109/tcsvt.2023.3294580,E02;E27
P055,Query-Based Object Visual Tracking with Parallel Sequence Generation,2024,Sensors,10.3390/s24154802,UNKNOWN,peer-reviewed journal,METADATA_CANONICALIZED,https://doi.org/10.3390/s24154802,E02;E27
P056,RELO: Reinforcement Learning to Localize for Visual Object Tracking,2026,ICML 2026,UNKNOWN,2605.07379,peer-reviewed conference,METADATA_CANONICALIZED,https://icml.cc/Downloads/2026,E01;E27
P057,Robust Object Modeling for Visual Tracking,2023,2023 IEEE/CVF International Conference on Computer Vision (ICCV),10.1109/iccv51070.2023.00879,2308.05140,peer-reviewed conference,METADATA_CANONICALIZED,https://doi.org/10.1109/iccv51070.2023.00879,E02;E27
P058,Robust Tracking via Unifying Pretrain-Finetuning and Visual Prompt Tuning,2023,ACM Multimedia Asia 2023,10.1145/3595916.3626410,UNKNOWN,peer-reviewed conference,METADATA_CANONICALIZED,https://doi.org/10.1145/3595916.3626410,E02;E27
P059,SAMITE: Position Prompted SAM2 with Calibrated Memory for Visual Object Tracking,2025,ArXiv,10.48550/arxiv.2507.21732,2507.21732,arXiv/preprint only,ARXIV_ONLY_VERIFIED,https://doi.org/10.48550/arxiv.2507.21732,E01;E27
P060,SeqTrack: Sequence to Sequence Learning for Visual Object Tracking,2023,2023 IEEE/CVF Conference on Computer Vision and Pattern Recognition (CVPR),10.1109/cvpr52729.2023.01400,UNKNOWN,peer-reviewed conference,METADATA_CANONICALIZED,https://doi.org/10.1109/cvpr52729.2023.01400,E01;E02;E27
P061,Siamese Visual Tracking With Multi-Parallel Interactive Transformers,2025,IEEE Transactions on Circuits and Systems for Video Technology,10.1109/tcsvt.2025.3569633,UNKNOWN,peer-reviewed journal,METADATA_CANONICALIZED,https://doi.org/10.1109/tcsvt.2025.3569633,E01;E27
P062,Sparse Transformer-Based Sequence Generation for Visual Object Tracking,2024,IEEE Access,10.1109/access.2024.3482468,UNKNOWN,peer-reviewed journal,METADATA_CANONICALIZED,https://doi.org/10.1109/access.2024.3482468,E02;E27
P063,SpikeTrack: A Spike-driven Framework for Efficient Visual Tracking,2026,CVPR 2026,UNKNOWN,2602.23963,peer-reviewed conference,PRIMARY_VERIFIED_HIGH_RELEVANCE,https://openaccess.thecvf.com/content/CVPR2026/html/Zhang_SpikeTrack_A_Spike-driven_Framework_for_Efficient_Visual_Tracking_CVPR_2026_paper.html,E02;E27
P064,Towards Efficient Training with Negative Samples in Visual Tracking,2023,ArXiv,10.48550/arxiv.2309.02903,2309.02903,arXiv/preprint only,ARXIV_ONLY_VERIFIED,https://doi.org/10.48550/arxiv.2309.02903,E02;E27
P065,Transformer-Based Tracker Fusing Two-Dimensional Semantic Features,2025,"2025 5th International Conference on Neural Networks, Information and Communication Engineering (NNICE)",10.1109/nnice64954.2025.11063785,UNKNOWN,peer-reviewed conference,METADATA_CANONICALIZED,https://doi.org/10.1109/nnice64954.2025.11063785,E02;E27
P066,Transformer Visual Tracker Based on Template Features Corresponding to Foreground Region,2022,2022 IEEE International Conference on Image Processing (ICIP),10.1109/icip46576.2022.9897717,UNKNOWN,peer-reviewed conference,METADATA_CANONICALIZED,https://doi.org/10.1109/icip46576.2022.9897717,E02;E27
P067,Two-stream Beats One-stream: Asymmetric Siamese Network for Efficient Visual Tracking,2025,AAAI 2025,10.1609/aaai.v39i10.33191,2503.00516,peer-reviewed conference,PRIMARY_VERIFIED_HIGH_RELEVANCE,https://ojs.aaai.org/index.php/AAAI/article/view/33191,E01;E27
P068,UETrack: A Unified and Efficient Framework for Single Object Tracking,2026,CVPR 2026,UNKNOWN,2603.01412,peer-reviewed conference,METADATA_CANONICALIZED,https://openaccess.thecvf.com/content/CVPR2026/html/Kang_UETrack_A_Unified_and_Efficient_Framework_for_Single_Object_Tracking_CVPR_2026_paper.html,E01;E27
P069,Unifying Motion and Appearance Cues for Visual Tracking via Shared Queries,2025,IEEE Transactions on Circuits and Systems for Video Technology,10.1109/tcsvt.2024.3486347,UNKNOWN,peer-reviewed journal,METADATA_CANONICALIZED,https://doi.org/10.1109/tcsvt.2024.3486347,E01;E27
P070,VideoTrack: Learning To Track Objects via Video Transformer,2023,2023 IEEE/CVF Conference on Computer Vision and Pattern Recognition (CVPR),10.1109/cvpr52729.2023.02186,UNKNOWN,peer-reviewed conference,METADATA_CANONICALIZED,https://doi.org/10.1109/cvpr52729.2023.02186,E02;E27;E26
P071,Visual tracking with unified relation modeling and masked appearance learning,2026,Neural Networks,10.1016/j.neunet.2025.108197,UNKNOWN,peer-reviewed journal,METADATA_CANONICALIZED,https://doi.org/10.1016/j.neunet.2025.108197,E01;E27
P072,"Wave-wise Discriminative Tracking by Phase-Amplitude Separation, Augmentation and Mixture",2025,Proceedings of the Thirty-Fourth International Joint Conference on Artificial Intelligence,10.24963/ijcai.2025/215,UNKNOWN,peer-reviewed conference,METADATA_CANONICALIZED,https://doi.org/10.24963/ijcai.2025/215,E02;E27
P073,WmLSTM: A Plug-and-Play Window-Level mLSTM-Based Temporal Encoder for Robust Visual Tracking,2026,IEEE Transactions on Circuits and Systems for Video Technology,10.1109/tcsvt.2026.3662479,UNKNOWN,peer-reviewed journal,METADATA_CANONICALIZED,https://doi.org/10.1109/tcsvt.2026.3662479,E01;E27
P074,ZoomTrack: Target-aware Non-uniform Resizing for Efficient Visual Tracking,2023,NeurIPS 2023,UNKNOWN,2310.10071,peer-reviewed conference,METADATA_CANONICALIZED,https://proceedings.neurips.cc/paper_files/paper/2023/hash/9fc291fef2f9607a46777d367f900a15-Abstract-Conference.html,E02;E27
