paper_id,title,first_author,year,venue,doi,arxiv_id,semantic_scholar_id,source_graph,publication_status,visual_SOT_relevance,has_official_code,official_code_url,primary_paper_url,solution_families,dedup_basis,raw_record_ids,metadata_audit_tier,metadata_source_url,evidence_source,notes
P011,CLDTracker: A Comprehensive Language Description for Visual Tracking,Mohamad Alansari,2025,Information Fusion,10.1016/j.inffus.2025.103374,2505.23704,ff612e77c57789c945e9b339f4df001407ef1138,FARTrack,peer-reviewed journal,SUPPORTING,YES,https://github.com/HamadYA/CLDTracker,https://doi.org/10.1016/j.inffus.2025.103374,Dynamic / conditional computation; Robustness / distractor handling,UNIQUE,FARTrack:25:ff612e77c57789c945e9b339f4df001407ef1138,METADATA_CANONICALIZED,https://doi.org/10.1016/j.inffus.2025.103374,E01;E27,Canonical metadata audit tier: METADATA_CANONICALIZED.
P012,Context-Aware Token Pruning and Discriminative Selective Attention for Transformer Tracking,J. Kugarajeevan,2026,Journal of Visual Communication and Image Representation,10.1016/j.jvcir.2026.104884,2511.19928,cb85d94fad7e70a7091b975a74978bb0f1e23589,SpikeTrack,peer-reviewed journal,SUPPORTING,YES,https://github.com/JananiKugaa/CPDATrack,https://doi.org/10.1016/j.jvcir.2026.104884,Pruning; Robustness / distractor handling,UNIQUE,SpikeTrack:23:cb85d94fad7e70a7091b975a74978bb0f1e23589,PRIMARY_VERIFIED_HIGH_RELEVANCE,https://doi.org/10.1016/j.jvcir.2026.104884,E02;E27,Canonical metadata audit tier: PRIMARY_VERIFIED_HIGH_RELEVANCE.
P013,Correlation-Embedded Transformer Tracking: A Single-Branch Framework,Fei Xie,2024,IEEE Transactions on Pattern Analysis and Machine Intelligence,10.1109/tpami.2024.3448254,2401.12743,388169392a75d2d5581712c892a63f3877d3e91d,BOTH,peer-reviewed journal,SUPPORTING,UNKNOWN,UNKNOWN,https://doi.org/10.1109/tpami.2024.3448254,Asymmetric template-search architecture; Block / layer reduction; Relation / cross-attention modeling; Robustness / distractor handling; Target-aware representation,doi; arxiv_id; semantic_scholar_id; normalized_title,FARTrack:11:388169392a75d2d5581712c892a63f3877d3e91d; SpikeTrack:14:388169392a75d2d5581712c892a63f3877d3e91d,METADATA_CANONICALIZED,https://doi.org/10.1109/tpami.2024.3448254,E01;E02;E27,Canonical metadata audit tier: METADATA_CANONICALIZED.
P014,CSCL: Bridging the plasticity-stability gap in continuous supervised contrastive learning,Yi Xiong,2026,Neural Networks,10.1016/j.neunet.2025.108179,UNKNOWN,9f5a7dec1b4107581ef76d7e43d36efa0480f622,FARTrack,peer-reviewed journal,OUT_OF_SCOPE,UNKNOWN,UNKNOWN,https://doi.org/10.1016/j.neunet.2025.108179,Training / loss redesign,UNIQUE,FARTrack:35:9f5a7dec1b4107581ef76d7e43d36efa0480f622,METADATA_CANONICALIZED,https://doi.org/10.1016/j.neunet.2025.108179,E01;E27,Canonical metadata audit tier: METADATA_CANONICALIZED.
P015,DATrack: direction attention based transformer tracker,Jinfen Liu,2025,Applied Intelligence,10.1007/s10489-025-06791-w,UNKNOWN,5ade81072cafc3a22d45bde8720cd246a60f3d00,SpikeTrack,peer-reviewed journal,SUPPORTING,UNKNOWN,UNKNOWN,https://doi.org/10.1007/s10489-025-06791-w,Motion modeling,UNIQUE,SpikeTrack:33:5ade81072cafc3a22d45bde8720cd246a60f3d00,METADATA_CANONICALIZED,https://doi.org/10.1007/s10489-025-06791-w,E02;E27,Canonical metadata audit tier: METADATA_CANONICALIZED.
P016,DeTrack: In-model Latent Denoising Learning for Visual Object Tracking,Xinyu Zhou,2024,NeurIPS 2024,10.52202/079017-2875,2501.02467,501e724ef2b3dbeda50bca624a6f5b48996e9290,FARTrack,peer-reviewed conference,SUPPORTING,UNKNOWN,UNKNOWN,https://proceedings.neurips.cc/paper_files/paper/2024/hash/a4c680b456b9750003c8a494a5b165dc-Abstract-Conference.html,Autoregressive / sequence modeling; Motion modeling; Robustness / distractor handling,UNIQUE,FARTrack:13:501e724ef2b3dbeda50bca624a6f5b48996e9290,METADATA_CANONICALIZED,https://proceedings.neurips.cc/paper_files/paper/2024/hash/a4c680b456b9750003c8a494a5b165dc-Abstract-Conference.html,E01;E27,Canonical metadata audit tier: METADATA_CANONICALIZED.
P017,Discriminative Pruning Networks for Visual Tracking with Adaptive Foreground Prediction,Zheng Wang,2025,2025 International Joint Conference on Neural Networks (IJCNN),10.1109/ijcnn64981.2025.11227771,UNKNOWN,1ef2a00358ead2c9ca6ca5e3e7ee023a1bbd437c,SpikeTrack,peer-reviewed conference,SUPPORTING,UNKNOWN,UNKNOWN,https://doi.org/10.1109/ijcnn64981.2025.11227771,Dynamic / conditional computation; Pruning; Robustness / distractor handling; Token / feature / spatial sparsification,UNIQUE,SpikeTrack:26:1ef2a00358ead2c9ca6ca5e3e7ee023a1bbd437c,METADATA_CANONICALIZED,https://doi.org/10.1109/ijcnn64981.2025.11227771,E02;E27,Canonical metadata audit tier: METADATA_CANONICALIZED.
P018,Efficient and Accurate Low-Resolution Transformer Tracking,Shaohua Dong,2025,2025 IEEE/RSJ International Conference on Intelligent Robots and Systems (IROS),10.1109/iros60139.2025.11247730,2405.17660,d08d4172a380b917781cafe11a9060f4eec89138;5cf588279fa2afc972956ba4c92c227694baa561,BOTH,peer-reviewed conference,SUPPORTING,YES,https://github.com/ShaohuaDong2021/LoReTrack,https://doi.org/10.1109/iros60139.2025.11247730,Low-resolution / adaptive-resolution processing; Model compression / distillation; Robustness / distractor handling; Target-aware representation; Training / loss redesign,manual preprint-to-proceedings verification,FARTrack:34:d08d4172a380b917781cafe11a9060f4eec89138; FARTrack:28:5cf588279fa2afc972956ba4c92c227694baa561; SpikeTrack:08:5cf588279fa2afc972956ba4c92c227694baa561,METADATA_CANONICALIZED,https://doi.org/10.1109/iros60139.2025.11247730,E01;E02;E27,Manually merged arXiv:2405.17660 and IROS 2025 versions; both strong IDs retained. Canonical metadata audit tier: METADATA_CANONICALIZED.
P019,Efficient Training for Visual Tracking with Deformable Transformer,Qingmao Wei,2023,ArXiv,10.48550/arxiv.2309.02676,2309.02676,319c5d37246c68d0ef970ca07fc3650235fd36a1,SpikeTrack,arXiv/preprint only,SUPPORTING,UNKNOWN,UNKNOWN,https://doi.org/10.48550/arxiv.2309.02676,Token / feature / spatial sparsification,UNIQUE,SpikeTrack:10:319c5d37246c68d0ef970ca07fc3650235fd36a1,ARXIV_ONLY_VERIFIED,https://doi.org/10.48550/arxiv.2309.02676,E02;E27,Canonical metadata audit tier: ARXIV_ONLY_VERIFIED.
P020,Enhancing the Two-Stream Framework for Efficient Visual Tracking,Chengao Zong,2025,IEEE Transactions on Image Processing,10.1109/tip.2025.3598934,UNKNOWN,69ac01ebd31a3a2945d1023803f712938a64b3d9,FARTrack,peer-reviewed journal,SUPPORTING,UNKNOWN,UNKNOWN,https://doi.org/10.1109/tip.2025.3598934,Asymmetric template-search architecture; Lightweight backbone design; Relation / cross-attention modeling,UNIQUE,FARTrack:33:69ac01ebd31a3a2945d1023803f712938a64b3d9,METADATA_CANONICALIZED,https://doi.org/10.1109/tip.2025.3598934,E01;E27,Canonical metadata audit tier: METADATA_CANONICALIZED.
P021,EnTeR-Track: Efficient UAV tracking via entropy-guided pruning and reversible token recovery,Jiayao Zheng,2026,Neurocomputing,10.1016/j.neucom.2026.134151,UNKNOWN,8b9eda3f6100ee17185b0872d50b8762d607a740,FARTrack,peer-reviewed journal,SUPPORTING,UNKNOWN,UNKNOWN,https://doi.org/10.1016/j.neucom.2026.134151,Pruning,UNIQUE,FARTrack:06:8b9eda3f6100ee17185b0872d50b8762d607a740,METADATA_CANONICALIZED,https://doi.org/10.1016/j.neucom.2026.134151,E01;E27,Canonical metadata audit tier: METADATA_CANONICALIZED.
P022,Exploiting Lightweight Hierarchical ViT and Dynamic Framework for Efficient Visual Tracking,Ben Kang,2025,International Journal of Computer Vision,10.1007/s11263-025-02500-9,2506.20381,5a68d08b3a498f404b531c65743edbb5903f4456,FARTrack,peer-reviewed journal,SUPPORTING,YES,https://github.com/kangben258/HiT,https://doi.org/10.1007/s11263-025-02500-9,Dynamic / conditional computation; Lightweight backbone design,UNIQUE,FARTrack:41:5a68d08b3a498f404b531c65743edbb5903f4456,METADATA_CANONICALIZED,https://doi.org/10.1007/s11263-025-02500-9,E01;E27,Canonical metadata audit tier: METADATA_CANONICALIZED.
P023,Exploring Dynamic Transformer for Efficient Object Tracking,Jiawen Zhu,2025,IEEE Transactions on Neural Networks and Learning Systems,10.1109/tnnls.2025.3545752,2403.17651,a1f6a0471c0c73a7d6bf3dc3d31e9d3775ab26ee,BOTH,peer-reviewed journal,SUPPORTING,UNKNOWN,UNKNOWN,https://doi.org/10.1109/tnnls.2025.3545752,Dynamic / conditional computation; Lightweight backbone design; Model compression / distillation; Target-aware representation; Template computation reuse; Training / loss redesign,doi; arxiv_id; semantic_scholar_id; normalized_title,FARTrack:27:a1f6a0471c0c73a7d6bf3dc3d31e9d3775ab26ee; SpikeTrack:05:a1f6a0471c0c73a7d6bf3dc3d31e9d3775ab26ee,PRIMARY_VERIFIED_HIGH_RELEVANCE,https://doi.org/10.1109/tnnls.2025.3545752,E01;E02;E27,Canonical metadata audit tier: PRIMARY_VERIFIED_HIGH_RELEVANCE.
P024,Exploring Efficient and Effective Sequence Learning for Visual Object Tracking,Dongdong Li,2025,Proceedings of the Thirty-Fourth International Joint Conference on Artificial Intelligence,10.24963/ijcai.2025/153,UNKNOWN,7894f95caefadbd03375d4f5b237518226c83f37,BOTH,peer-reviewed conference,SUPPORTING,NO,UNKNOWN,https://doi.org/10.24963/ijcai.2025/153,Autoregressive / sequence modeling; Dynamic / conditional computation,doi; semantic_scholar_id; normalized_title,FARTrack:23:7894f95caefadbd03375d4f5b237518226c83f37; SpikeTrack:04:7894f95caefadbd03375d4f5b237518226c83f37,PRIMARY_VERIFIED_HIGH_RELEVANCE,https://doi.org/10.24963/ijcai.2025/153,E01;E02;E27,Canonical metadata audit tier: PRIMARY_VERIFIED_HIGH_RELEVANCE. An author-designated repository was checked but contains no FastSeqTrack implementation.
P025,Exploring Enhanced Contextual Information for Video-Level Object Tracking,Ben Kang,2025,AAAI 2025,10.1609/aaai.v39i4.32440,2412.11023,7d642fe91a30be1d27b2440d0c2eff8d3fabd7f2,FARTrack,peer-reviewed conference,SUPPORTING,YES,https://github.com/kangben258/MCITrack,https://ojs.aaai.org/index.php/AAAI/article/view/32440,Relation / cross-attention modeling; Robustness / distractor handling; Temporal context / video-level memory,UNIQUE,FARTrack:04:7d642fe91a30be1d27b2440d0c2eff8d3fabd7f2,PRIMARY_VERIFIED_HIGH_RELEVANCE,https://ojs.aaai.org/index.php/AAAI/article/view/32440,E01;E27,Canonical metadata audit tier: PRIMARY_VERIFIED_HIGH_RELEVANCE.
P026,Exploring Lightweight Hierarchical Vision Transformers for Efficient Visual Tracking,Ben Kang,2023,2023 IEEE/CVF International Conference on Computer Vision (ICCV),10.1109/iccv51070.2023.00881,2308.06904,7b55c22d062bd52e1cce5044f5e3a97b80f729ea,BOTH,peer-reviewed conference,SUPPORTING,YES,https://github.com/kangben258/HiT,https://doi.org/10.1109/iccv51070.2023.00881,Block / layer reduction; Lightweight backbone design,doi; arxiv_id; semantic_scholar_id; normalized_title,FARTrack:16:7b55c22d062bd52e1cce5044f5e3a97b80f729ea; SpikeTrack:25:7b55c22d062bd52e1cce5044f5e3a97b80f729ea,PRIMARY_VERIFIED_HIGH_RELEVANCE,https://doi.org/10.1109/iccv51070.2023.00881,E01;E02;E27,Canonical metadata audit tier: PRIMARY_VERIFIED_HIGH_RELEVANCE.
P027,Exploring Pruning-Based Efficient Object Tracking via Hybrid Knowledge Distillation,Yidong Song,2026,IEEE Transactions on Circuits and Systems for Video Technology,10.1109/tcsvt.2025.3609410,UNKNOWN,8e0e609ca33109a471e3e14b30763715c7f08908,FARTrack,peer-reviewed journal,SUPPORTING,UNKNOWN,UNKNOWN,https://doi.org/10.1109/tcsvt.2025.3609410,Model compression / distillation; Pruning; Training / loss redesign,UNIQUE,FARTrack:40:8e0e609ca33109a471e3e14b30763715c7f08908,METADATA_CANONICALIZED,https://doi.org/10.1109/tcsvt.2025.3609410,E01;E27,Canonical metadata audit tier: METADATA_CANONICALIZED.
P028,FARTrack: Fast Autoregressive Visual Tracking with High Performance,Guijie Wang,2026,ICLR 2026,UNKNOWN,2602.03214,69f38c9531cbdf1d8e12bd6a934c86631615db75,FARTrack,peer-reviewed conference,PRIMARY,YES,https://github.com/MIV-XJTU/FARTrack,https://openreview.net/forum?id=lq7Zfr8kAS,Autoregressive / sequence modeling; Block / layer reduction; Lightweight backbone design; Model compression / distillation; Motion modeling; Temporal context / video-level memory; Token / feature / spatial sparsification; Training / loss redesign,UNIQUE,FARTrack:01:69f38c9531cbdf1d8e12bd6a934c86631615db75,PRIMARY_VERIFIED_HIGH_RELEVANCE,https://openreview.net/forum?id=lq7Zfr8kAS,E01;E27,Canonical metadata audit tier: PRIMARY_VERIFIED_HIGH_RELEVANCE.
P029,FETrack: One-stream framework-based feature enhancement for object tracking,Yue Chen,2026,Digital Signal Processing,10.1016/j.dsp.2026.105935,UNKNOWN,c54e5e0c573e2f40f9a253a102b2282dc5d6e96a,FARTrack,peer-reviewed journal,SUPPORTING,UNKNOWN,UNKNOWN,https://doi.org/10.1016/j.dsp.2026.105935,UNKNOWN,UNIQUE,FARTrack:32:c54e5e0c573e2f40f9a253a102b2282dc5d6e96a,METADATA_CANONICALIZED,https://doi.org/10.1016/j.dsp.2026.105935,E01;E27,Canonical metadata audit tier: METADATA_CANONICALIZED.
P030,Fine-grained visual tracking via distribution-aware mask modeling and temporal propagation,Xin Zhou,2025,Knowledge-Based Systems,10.1016/j.knosys.2025.114208,UNKNOWN,20dd5912ddc3e951e866c1f019ea47a1effe2e5f,FARTrack,peer-reviewed journal,SUPPORTING,UNKNOWN,UNKNOWN,https://doi.org/10.1016/j.knosys.2025.114208,UNKNOWN,UNIQUE,FARTrack:05:20dd5912ddc3e951e866c1f019ea47a1effe2e5f,METADATA_CANONICALIZED,https://doi.org/10.1016/j.knosys.2025.114208,E01;E27,Canonical metadata audit tier: METADATA_CANONICALIZED.
P031,Foreground-Background Distribution Modeling Transformer for Visual Object Tracking,Da-Ming Yang,2023,2023 IEEE/CVF International Conference on Computer Vision (ICCV),10.1109/iccv51070.2023.00928,UNKNOWN,782de56ec4cdf620c1e6eba495960a772c1efd25,SpikeTrack,peer-reviewed conference,SUPPORTING,UNKNOWN,UNKNOWN,https://doi.org/10.1109/iccv51070.2023.00928,Robustness / distractor handling,UNIQUE,SpikeTrack:02:782de56ec4cdf620c1e6eba495960a772c1efd25,METADATA_CANONICALIZED,https://doi.org/10.1109/iccv51070.2023.00928,E02;E27,Canonical metadata audit tier: METADATA_CANONICALIZED.
P032,FSTrack: Visual tracking with feature fusion and adaptive selection,Jian Shi,2026,Expert Systems with Applications,10.1016/j.eswa.2025.129895,UNKNOWN,fc413b5316463b7467aa4a39a40208247f7f8842,FARTrack,peer-reviewed journal,SUPPORTING,UNKNOWN,UNKNOWN,https://doi.org/10.1016/j.eswa.2025.129895,Relation / cross-attention modeling,UNIQUE,FARTrack:22:fc413b5316463b7467aa4a39a40208247f7f8842,METADATA_CANONICALIZED,https://doi.org/10.1016/j.eswa.2025.129895,E01;E27,Canonical metadata audit tier: METADATA_CANONICALIZED.
P033,Fully Spiking Neural Networks for Unified Frame-Event Object Tracking,Jingjun Yang,2025,NeurIPS 2025,10.48550/arxiv.2505.20834,2505.20834,b795d27606f99de1ad83c90fc73f5bb3157b8c52,SpikeTrack,peer-reviewed conference,SUPPORTING,YES,https://github.com/Noctis-A/SpikeFET,https://proceedings.neurips.cc/paper_files/paper/2025/hash/af752cfbdcc6fd3e4cd0eea9f1ad0fab-Abstract-Conference.html,Asymmetric template-search architecture; Robustness / distractor handling; SNN / neuromorphic computation; Token / feature / spatial sparsification,UNIQUE,SpikeTrack:29:b795d27606f99de1ad83c90fc73f5bb3157b8c52,PRIMARY_VERIFIED_HIGH_RELEVANCE,https://proceedings.neurips.cc/paper_files/paper/2025/hash/af752cfbdcc6fd3e4cd0eea9f1ad0fab-Abstract-Conference.html,E02;E27,Canonical metadata audit tier: PRIMARY_VERIFIED_HIGH_RELEVANCE.
P034,General Compression Framework for Efficient Transformer Object Tracking,Lingyi Hong,2025,ICCV 2025,10.1109/iccv51701.2025.01247,2409.17564,e3d128c4a43fe2d5a9c8e8657cd5926c53197ba8,FARTrack,peer-reviewed conference,SUPPORTING,YES,https://github.com/LingyiHongfd/CompressTracker,https://doi.org/10.1109/iccv51701.2025.01247,Lightweight backbone design; Model compression / distillation; Training / loss redesign,UNIQUE,FARTrack:10:e3d128c4a43fe2d5a9c8e8657cd5926c53197ba8,PRIMARY_VERIFIED_HIGH_RELEVANCE,https://doi.org/10.1109/iccv51701.2025.01247,E01;E27,Canonical metadata audit tier: PRIMARY_VERIFIED_HIGH_RELEVANCE.
P035,Generalized Relation Modeling for Transformer Tracking,Shenyuan Gao,2023,2023 IEEE/CVF Conference on Computer Vision and Pattern Recognition (CVPR),10.1109/cvpr52729.2023.01792,2303.16580,5b959cf1e226e19647d2fd2bcb7f65d43e68dbe5,SpikeTrack,peer-reviewed conference,SUPPORTING,YES,https://github.com/Little-Podi/GRM,https://doi.org/10.1109/cvpr52729.2023.01792,Asymmetric template-search architecture; Relation / cross-attention modeling; Robustness / distractor handling,UNIQUE,SpikeTrack:12:5b959cf1e226e19647d2fd2bcb7f65d43e68dbe5,METADATA_CANONICALIZED,https://doi.org/10.1109/cvpr52729.2023.01792,E02;E27,Canonical metadata audit tier: METADATA_CANONICALIZED.
P036,GOT-Edit: Geometry-Aware Generic Object Tracking via Online Model Editing,Shih-Fang Chen,2026,ICLR 2026,UNKNOWN,2602.08550,bc64a56b27efc2af9423a7c1715e44e265887ff9,FARTrack,peer-reviewed conference,SUPPORTING,UNKNOWN,UNKNOWN,https://proceedings.iclr.cc/paper_files/paper/2026/hash/519c51529c3544b3430bd8b17d400365-Abstract-Conference.html,Robustness / distractor handling,UNIQUE,FARTrack:30:bc64a56b27efc2af9423a7c1715e44e265887ff9,METADATA_CANONICALIZED,https://proceedings.iclr.cc/paper_files/paper/2026/hash/519c51529c3544b3430bd8b17d400365-Abstract-Conference.html,E01;E27,Canonical metadata audit tier: METADATA_CANONICALIZED.
P037,High-Performance Discriminative Tracking with Spatio-Temporal Template Fusion,Xuedong He,2025,Proceedings of the 33rd ACM International Conference on Multimedia,10.1145/3746027.3755721,UNKNOWN,ab6b66d9f817af8098a534cd8cc15ff92da05494,SpikeTrack,peer-reviewed conference,SUPPORTING,YES,https://github.com/hexdjx/VisTrack,https://doi.org/10.1145/3746027.3755721,Asymmetric template-search architecture; Dynamic / conditional computation; Target-aware representation,UNIQUE,SpikeTrack:38:ab6b66d9f817af8098a534cd8cc15ff92da05494,METADATA_CANONICALIZED,https://doi.org/10.1145/3746027.3755721,E02;E27,Canonical metadata audit tier: METADATA_CANONICALIZED.
P038,Implicit Motion State Modeling for Efficient and Effective Video-Level Object Tracking,Xianxin Jia,2026,Expert Systems with Applications,10.1016/j.eswa.2026.132083,UNKNOWN,3aa6ded626de9cdd82890f13acb72b293727266e,FARTrack,peer-reviewed journal,SUPPORTING,UNKNOWN,UNKNOWN,https://doi.org/10.1016/j.eswa.2026.132083,Motion modeling; Temporal context / video-level memory,UNIQUE,FARTrack:20:3aa6ded626de9cdd82890f13acb72b293727266e,METADATA_CANONICALIZED,https://doi.org/10.1016/j.eswa.2026.132083,E01;E27,Canonical metadata audit tier: METADATA_CANONICALIZED.
P039,Improving Visual Object Tracking Through Visual Prompting,Shih-Fang Chen,2025,IEEE Transactions on Multimedia,10.1109/tmm.2025.3535323,2409.18901,d1054ba696350461941221b4f0a8b3b408a12d26,FARTrack,peer-reviewed journal,SUPPORTING,UNKNOWN,UNKNOWN,https://doi.org/10.1109/tmm.2025.3535323,Dynamic / conditional computation; Robustness / distractor handling,UNIQUE,FARTrack:31:d1054ba696350461941221b4f0a8b3b408a12d26,METADATA_CANONICALIZED,https://doi.org/10.1109/tmm.2025.3535323,E01;E27,Canonical metadata audit tier: METADATA_CANONICALIZED.
P040,Joint Feature Learning and Relation Modeling for Tracking: A One-Stream Framework,Botao Ye,2022,ECCV 2022,10.1007/978-3-031-20047-2_20,2203.11991,c1329f91cfa11011712227c8765fbbe38b9f2b7e,SpikeTrack,peer-reviewed conference,HISTORICAL,YES,https://github.com/botaoye/OSTrack,https://www.ecva.net/papers/eccv_2022/papers_ECCV/papers/136820332.pdf,Asymmetric template-search architecture; Dynamic / conditional computation; Relation / cross-attention modeling; Robustness / distractor handling,UNIQUE,SpikeTrack:36:c1329f91cfa11011712227c8765fbbe38b9f2b7e,METADATA_CANONICALIZED,https://www.ecva.net/papers/eccv_2022/papers_ECCV/papers/136820332.pdf,E02;E27,Canonical metadata audit tier: METADATA_CANONICALIZED.
