candidate_id,title,year,venue,publication_status,pool,paper_url,official_repo,checkpoint_status,evaluator_status,task_family,modality,hg1,hg2,hg3,hg4,hg5,hg6,reason_for_pool,evidence_notes
"CX011","DiVOT: Video-level object tracking","2026","Digital Signal Processing","published","A","https://www.sciencedirect.com/science/article/abs/pii/S1051200426000758","","PENDING","PENDING","generic_bbox_sot","RGB","PASS","PASS","PENDING","PENDING","PENDING","PENDING","Generic RGB video-level tracking","Official publisher verified; artifact bundle not traced"
"CX012","Object Drift Verification Network for long-term visual tracking","2026","Digital Signal Processing","published","A","https://www.sciencedirect.com/science/article/pii/S1051200426002034","","PENDING","PENDING","generic_long_term_bbox_sot","RGB","PASS","PASS","PENDING","PENDING","PENDING","PENDING","Generic RGB long-term tracking plug-in","Official publisher verified; artifact bundle not traced"
"CX013","FARTrack: Fast Autoregressive Visual Tracking with High Performance","2026","ICLR","accepted_published","A","https://openreview.net/forum?id=lq7Zfr8kAS","https://github.com/MIV-XJTU/FARTrack","AVAILABLE","AVAILABLE","generic_bbox_sot","RGB","PASS","PASS","PASS","PENDING","PENDING","PENDING","Generic RGB bbox SOT","Official repo exposes code checkpoints and evaluation workflow"
"CX014","GOT-Edit: Geometry-Aware Generic Object Tracking via Online Model Editing","2026","ICLR","accepted_published","A","https://openreview.net/forum?id=aVa7etWnwF","https://github.com/chenshihfang/GOT","AVAILABLE","AVAILABLE","generic_bbox_sot","RGB","PASS","PASS","PASS","PENDING","PENDING","PENDING","Generic RGB bbox SOT; geometry inferred from RGB","Official repo exposes models raw results code and evaluator"
"CX015","Variational Inference for Cyclic Learning / CycleTrack","2026","ICLR","accepted_published","A","https://openreview.net/forum?id=c1jWNZ1Zqg","","PENDING","PENDING","generic_bbox_sot","RGB","PASS","PASS","PENDING","PENDING","PENDING","PENDING","Generic SOT instantiation","Paper states source availability but exact official artifact bundle was not traced"
"CX016","AS-SAM2: Adaptive Self-correction for Visual Tracking with SAM2","2026","IEEE TCSVT","published","A","https://doi.org/10.1109/TCSVT.2026.3690345","","PENDING","PENDING","generic_bbox_sot","RGB","PASS","PASS","PENDING","PENDING","PENDING","PENDING","RGB tracker built on SAM2","Artifact bundle not verified"
"CX017","GOT-JEPA: Generic Object Tracking With Model Adaptation and Occlusion Handling Using Joint-Embedding Predictive Architecture","2026","IEEE TCSVT","published","A","https://ieeexplore.ieee.org/document/11436011/","https://github.com/chenshihfang/GOT","AVAILABLE","AVAILABLE","generic_bbox_sot","RGB","PASS","PASS","PASS","PENDING","PENDING","PENDING","Generic RGB bbox SOT","Official repo provides code models raw results and usage details"
"CX018","ODVTrack: Only Decoder for Visual Tracking with Multiple Templates","2026","IEEE TCSVT","published","A","https://doi.org/10.1109/TCSVT.2026.3709499","","PENDING","PENDING","generic_bbox_sot","RGB","PASS","PASS","PENDING","PENDING","PENDING","PENDING","Generic RGB bbox SOT","Artifact bundle not verified"
"CX019","WmLSTM: A Plug-and-Play Window-Level mLSTM-Based Temporal Encoder for Robust Visual Tracking","2026","IEEE TCSVT","published","A","https://doi.org/10.1109/TCSVT.2026.3662479","","PENDING","PENDING","generic_bbox_sot","RGB","PASS","PASS","PENDING","PENDING","PENDING","PENDING","Generic RGB bbox SOT","Artifact bundle not verified"
"CX020","SAMURAI: Motion-Aware Memory for Training-Free Visual Object Tracking With SAM 2","2026","IEEE TIP","published","A","https://doi.org/10.1109/TIP.2026.3651835","https://github.com/yangchris11/samurai","AVAILABLE","AVAILABLE","generic_bbox_sot","RGB","PASS","PASS","PASS","PENDING","PENDING","PENDING","Supports bbox-initialized RGB tracking","Official repo provides code SAM2.1 checkpoint downloader and VOT evaluators"
"CX021","SMTrack: State-Aware Mamba for Efficient Temporal Modeling in Visual Tracking","2026","IEEE TIP","published","A","https://doi.org/10.1109/TIP.2026.3661393","","PENDING","PENDING","generic_bbox_sot","RGB","PASS","PASS","PENDING","PENDING","PENDING","PENDING","Generic efficient RGB bbox SOT","Official implementation bundle not traced"
"CX022","Efficient Plug-and-Play Mamba-based Selective Target State Modeling for Lightweight Visual Tracking / TSTrack","2026","IEEE TMM","published","A","https://doi.org/10.1109/TMM.2026.3678806","https://github.com/Xiaochen918/TSTrack","MISSING","MISSING","generic_bbox_sot","RGB","PASS","PASS","FAIL","PENDING","PENDING","PENDING","Generic lightweight RGB bbox SOT","Official repository says source code is still being prepared"
"CX023","Joint Neural Architecture Search and Token Pruning for Efficient Visual Tracking / NASTrack","2026","IJCAI-ECAI","officially_accepted","A","https://ijcai-preprints.s3.us-west-1.amazonaws.com/2026/2992.pdf","https://github.com/Cyhoon84/NASTrack","MISSING","AVAILABLE","generic_bbox_sot","RGB","PASS","PASS","FAIL","PENDING","PENDING","PENDING","Generic efficient RGB bbox SOT","Repo has code and evaluator but no released trained tracker checkpoint; MAE pretrain is not a tracker checkpoint"
"CX024","Distractor-Aware Memory-Based Visual Object Tracking / DAM4SAM","2026","IJCV","published","A","https://link.springer.com/article/10.1007/s11263-026-02790-7","https://github.com/jovanavidenovic/DAM4SAM","AVAILABLE","AVAILABLE","generic_bbox_sot","RGB","PASS","PASS","PASS","PENDING","PENDING","PENDING","Generic RGB bbox SOT and VOS family","Official repo provides code checkpoint downloader and VOT box evaluators"
"CX025","Combining short-term and long-term memory for robust visual tracking","2026","Image and Vision Computing","PUBLISHED","A","https://www.sciencedirect.com/science/article/pii/S026288562500438X","","PENDING","PENDING","dual_memory_long_term_rgb_sot","RGB","PASS","PASS","PENDING","PENDING","PENDING","PENDING","2025-2026 Core-compatible scientific-audit queue","Official paper verified; no official source/checkpoint/evaluator bundle located."
"CX026","Non-target information also matters: InverseFormer tracker for single object tracking / IFTrack","2026","Image and Vision Computing","published","A","https://www.sciencedirect.com/science/article/pii/S0262885626000284","","PENDING","PENDING","generic_bbox_sot","RGB","PASS","PASS","PENDING","PENDING","PENDING","PENDING","Generic RGB bbox SOT","Official publisher verified; artifact bundle not traced"
"CX027","Context-aware token pruning and discriminative selective attention for transformer tracking / CPDATrack","2026","Journal of Visual Communication and Image Representation","published","A","https://www.sciencedirect.com/science/article/abs/pii/S1047320326001793","","PENDING","PENDING","generic_bbox_sot","RGB","PASS","PASS","PENDING","PENDING","PENDING","PENDING","Generic efficient RGB bbox SOT","Official publisher verified; artifact bundle not traced"
"CX028","AdaptTrack: Perception field adaptation with contrastive attention for robust visual tracking","2026","Knowledge-Based Systems","published","A","https://www.sciencedirect.com/science/article/pii/S0950705126001127","","PENDING","PENDING","generic_bbox_sot","RGB","PASS","PASS","PENDING","PENDING","PENDING","PENDING","Generic RGB bbox SOT","Official publisher verified; artifact bundle not traced"
"CX029","LoongTrack: Exploring long-sequence modeling for visual tracking","2026","Neural Networks","published","A","https://www.sciencedirect.com/science/article/pii/S0893608026002868","","PENDING","PENDING","generic_bbox_sot","RGB","PASS","PASS","PENDING","PENDING","PENDING","PENDING","Generic long-sequence RGB tracking","Publisher says code will be made available; release not verified"
"CX030","Efficient early exit single object tracking via general distribution","2026","Neurocomputing","published","A","https://www.sciencedirect.com/science/article/pii/S0925231225025603","","PENDING","PENDING","generic_bbox_sot","RGB","PASS","PASS","PENDING","PENDING","PENDING","PENDING","Generic efficient RGB bbox SOT","Official publisher verified; artifact bundle not traced"
"CX031","Cross-alignment for efficient visual object tracking","2026","Pattern Recognition","published","A","https://doi.org/10.1016/j.patcog.2025.112048","","PENDING","PENDING","generic_bbox_sot","RGB","PASS","PASS","PENDING","PENDING","PENDING","PENDING","Generic efficient RGB bbox SOT","Official publisher DOI verified; artifact bundle not traced"
"CX032","EME: Out-of-view handling in visual object tracking via edge-aware motion estimation","2026","Pattern Recognition","published","A","https://doi.org/10.1016/j.patcog.2026.114671","","PENDING","PENDING","generic_long_term_bbox_sot","RGB","PASS","PASS","PENDING","PENDING","PENDING","PENDING","Generic RGB long-term SOT with OOV handling","DOI metadata appeared near cutoff; artifact bundle not traced"
"CX033","LTSTrack: Visual tracking with long-term temporal sequence","2026","Pattern Recognition","published","A","https://www.sciencedirect.com/science/article/pii/S0031320326000154","","PENDING","PENDING","generic_long_term_bbox_sot","RGB","PASS","PASS","PENDING","PENDING","PENDING","PENDING","Generic RGB long-term visual tracking","Official publisher verified; artifact bundle not traced"
"CX034","TrHelpTr: A long-term single-object tracking paradigm based on sequence modeling reinforcement learning","2026","Pattern Recognition","published","A","https://www.sciencedirect.com/science/article/abs/pii/S0031320326001068","","PENDING","PENDING","generic_long_term_bbox_sot","RGB","PASS","PASS","PENDING","PENDING","PENDING","PENDING","Generic RGB long-term bbox SOT","Official publisher verified; artifact bundle not traced"
"CX035","SiamTrackCaps: A Siamese-based Single Object Tracker Using Capsule Networks","2026","WACV Workshops","published","A","https://openaccess.thecvf.com/content/WACV2026W/RWS/html/Algamdi_SiamTrackCaps_A_Siamese-based_Single_Object_Tracker_Using_Capsule_Networks_WACVW_2026_paper.html","","PENDING","PENDING","generic_bbox_sot","RGB","PASS","PASS","PENDING","PENDING","PENDING","PENDING","Generic RGB bbox SOT","Official artifact bundle not traced"
"CX036","Training-Free Target Emphasis with SAM2 Pseudo-Masks for Robust Single Object Tracking","2026","WACV Workshops","published","A","https://openaccess.thecvf.com/content/WACV2026W/RWS/html/Lee_Training-Free_Target_Emphasis_with_SAM2_Pseudo-Masks_for_Robust_Single_Object_WACVW_2026_paper.html","","PENDING","PENDING","generic_bbox_sot","RGB","PASS","PASS","PENDING","PENDING","PENDING","PENDING","RGB bbox SOT with one-shot template purification","Official artifact bundle not traced"
"CX037","Decoupled Spatio-Temporal Consistency Learning for Self-Supervised Tracking (SSTrack-AAAI)","2025","AAAI","PUBLISHED","A","https://ojs.aaai.org/index.php/AAAI/article/view/33155","https://github.com/GXNU-ZhongLab/SSTrack","AVAILABLE","AVAILABLE","generic_rgb_sot","RGB","PASS","PASS","PASS","PENDING","PENDING","PENDING","2025 generic RGB bounding-box SOT","Official repository exposes code; model and raw-result downloads; and evaluation commands for LaSOT; GOT-10K; TrackingNet; and other benchmarks."
"CX038","Exploring Enhanced Contextual Information for Video-Level Object Tracking (MCITrack)","2025","AAAI","PUBLISHED","A","https://ojs.aaai.org/index.php/AAAI/article/view/32440","https://github.com/kangben258/MCITrack","AVAILABLE","AVAILABLE","generic_rgb_sot","RGB","PASS","PASS","PASS","PENDING","PENDING","PENDING","2025 generic RGB bounding-box SOT","Official repository exposes source; model and raw-result downloads; training logs; and test-evaluation commands."
"CX039","Less Is More: Token Context-Aware Learning for Object Tracking (LMTrack)","2025","AAAI","PUBLISHED","A","https://ojs.aaai.org/index.php/AAAI/article/view/32954","https://github.com/XuChenLong/LMTrack","MISSING","AVAILABLE","generic_rgb_sot","RGB","PASS","PASS","FAIL","PENDING","PENDING","PENDING","2025 generic RGB bounding-box SOT","Official repository has source and test-evaluation commands; no trained LMTrack checkpoint was evidenced and the linked MAE weight is only backbone initialization."
"CX040","MambaLCT: Boosting Tracking via Long-term Context State Space Model","2025","AAAI","PUBLISHED","A","https://ojs.aaai.org/index.php/AAAI/article/view/32528","https://github.com/GXNU-ZhongLab/MambaLCT","AVAILABLE","AVAILABLE","generic_rgb_sot","RGB","PASS","PASS","PASS","PENDING","PENDING","PENDING","2025 generic RGB bounding-box SOT","Official repository contains source directories and model and raw-result links; a complete usable evaluator invocation was not documented in the inspected README. Direct official-repository inspection also verified source, released model/raw-result links, tracking/test.py, and result-analysis scripts."
"CX041","MIMTrack: In-Context Tracking via Masked Image Modeling","2025","AAAI","PUBLISHED","A","https://ojs.aaai.org/index.php/AAAI/article/view/32860","","PENDING","PENDING","generic_rgb_sot","RGB","PASS","PASS","PENDING","PENDING","PENDING","PENDING","2025 generic RGB bounding-box SOT","Official publication verified; no complete official source-checkpoint-evaluator bundle was established."
"CX042","Robust Tracking via Mamba-based Context-aware Token Learning (TemTrack)","2025","AAAI","PUBLISHED","A","https://ojs.aaai.org/index.php/AAAI/article/view/32943","https://github.com/GXNU-ZhongLab/TemTrack","MISSING","MISSING","generic_rgb_sot","RGB","PASS","PASS","FAIL","PENDING","PENDING","PENDING","2025 generic RGB bounding-box SOT","Official repository inspection exposed only minimal README and raw-result material; not the required source-checkpoint-evaluator bundle."
"CX043","SUTrack: Towards Simple and Unified Single Object Tracking","2025","AAAI","PUBLISHED","A","https://ojs.aaai.org/index.php/AAAI/article/view/32223","https://github.com/chenxin-dlut/SUTrack","AVAILABLE","AVAILABLE","generic_rgb_sot","RGB selectable mode","PASS","PASS","PASS","PENDING","PENDING","PENDING","2025 generic RGB bounding-box SOT","Official paper and repository expose a selectable RGB-only mode; source; released models; and RGB benchmark evaluation commands."
"CX044","Two-stream Beats One-stream: Asymmetric Siamese Network for Efficient Visual Tracking (AsymTrack)","2025","AAAI","PUBLISHED","A","https://ojs.aaai.org/index.php/AAAI/article/view/33191","https://github.com/jiawen-zhu/AsymTrack","AVAILABLE","AVAILABLE","generic_rgb_sot","RGB","PASS","PASS","PASS","PENDING","PENDING","PENDING","2025 generic RGB bounding-box SOT","Official repository exposes code; model and raw-result downloads; and testing-evaluation commands."
"CX045","Explicit Context Reasoning with Supervision for Visual Tracking (RSTrack)","2025","ACM Multimedia","PUBLISHED","A","https://dl.acm.org/doi/10.1145/3746027.3755282","https://github.com/GXNU-ZhongLab/RSTrack","MISSING","MISSING","generic_rgb_sot","RGB","PASS","PASS","FAIL","PENDING","PENDING","PENDING","2025 peer-reviewed generic RGB SOT with explicit temporal context reasoning","ACM DOI and proceedings identity verified; official repository currently contains only one README commit and no source-checkpoint-evaluator bundle."
"CX046","High-Performance Discriminative Tracking with Spatio-Temporal Template Fusion (JDTrack)","2025","ACM Multimedia","PUBLISHED","A","https://dl.acm.org/doi/10.1145/3746027.3755721","https://github.com/hexdjx/VisTrack","AVAILABLE","AVAILABLE","generic_rgb_sot","RGB","PASS","PASS","PASS","PENDING","PENDING","PENDING","2025 peer-reviewed generic RGB SOT with spatio-temporal template fusion","Official ACM DOI appears in the author-hosted paper; official repository exposes source, JDTrack model/raw-result downloads, and integrated GOT-10k/PySOT evaluation."
"CX047","ARPTrack: Autoregressive Sequential Pretraining for Visual Tracking","2025","CVPR","PUBLISHED","A","https://openaccess.thecvf.com/content/CVPR2025/html/Liang_Autoregressive_Sequential_Pretraining_for_Visual_Tracking_CVPR_2025_paper.html","","MISSING","MISSING","generic_rgb_sot","RGB","PASS","PASS","FAIL","PENDING","PENDING","PENDING","2025 generic RGB bounding-box SOT","Official CVF publication verified; project page states code will be released and no complete source-checkpoint-evaluator bundle was established."
"CX048","DreamTrack: Dreaming the Future for Multimodal Visual Object Tracking","2025","CVPR","PUBLISHED","A","https://openaccess.thecvf.com/content/CVPR2025/html/Guo_DreamTrack_Dreaming_the_Future_for_Multimodal_Visual_Object_Tracking_CVPR_2025_paper.html","","PENDING","PENDING","generic_rgb_sot","RGB","PASS","PASS","PENDING","PENDING","PENDING","PENDING","2025 generic RGB bounding-box SOT","Multimodal denotes predicted future visual modes rather than a required sensor modality; no complete official reproducibility bundle was established."
"CX049","SPMTrack: Spatio-Temporal Parameter-Efficient Fine-Tuning with Mixture of Experts for Scalable Visual Tracking","2025","CVPR","PUBLISHED","A","https://openaccess.thecvf.com/content/CVPR2025/html/Cai_SPMTrack_Spatio-Temporal_Parameter-Efficient_Fine-Tuning_with_Mixture_of_Experts_for_Scalable_CVPR_2025_paper.html","https://github.com/WenRuiCai/SPMTrack","AVAILABLE","AVAILABLE","generic_rgb_sot","RGB","PASS","PASS","PASS","PENDING","PENDING","PENDING","2025 generic RGB bounding-box SOT","Official repository exposes source and configs; released model weights and raw results; benchmark testing and evaluation instructions."
"CX050","General Compression Framework for Efficient Transformer Object Tracking (CompressTracker)","2025","ICCV","PUBLISHED","A","https://openaccess.thecvf.com/content/ICCV2025/html/Hong_General_Compression_Framework_for_Efficient_Transformer_Object_Tracking_ICCV_2025_paper.html","https://github.com/LingyiHongfd/CompressTracker","MISSING","AVAILABLE","generic_rgb_sot","RGB","PASS","PASS","FAIL","PENDING","PENDING","PENDING","2025 generic RGB bounding-box SOT","Official repository has source and evaluation commands; only upstream MAE and OSTrack initialization weights were evidenced and no trained CompressTracker checkpoint was found."
"CX051","UMDATrack: Unified Multi-Domain Adaptive Tracking Under Adverse Weather Conditions","2025","ICCV","PUBLISHED","A","https://openaccess.thecvf.com/content/ICCV2025/html/Yao_UMDATrack_Unified_Multi-Domain_Adaptive_Tracking_Under_Adverse_Weather_Conditions_ICCV_2025_paper.html","https://github.com/Z-Z188/UMDATrack","AVAILABLE","AVAILABLE","generic_rgb_sot","RGB","PASS","PASS","PASS","PENDING","PENDING","PENDING","2025 generic RGB bounding-box SOT","RGB inference; scenario synthesis is offline adaptation. Official repository exposes code; weights; and evaluation commands."
"CX052","PCTrack: Accurate Object Tracking for Live Video Analytics on Resource-Constrained Edge Devices","2025","IEEE TCSVT","published","A","https://doi.org/10.1109/TCSVT.2024.3523204","","PENDING","PENDING","generic_bbox_sot","RGB","PASS","PASS","PENDING","PENDING","PENDING","PENDING","Generic RGB tracking for edge analytics","Volume year 2025 verified; artifact bundle not traced"
"CX053","UncTrack: Reliable Visual Object Tracking With Uncertainty-Aware Prototype Memory Network","2025","IEEE TIP","published","A","https://ieeexplore.ieee.org/document/10967033","https://github.com/ManOfStory/UncTrack","AVAILABLE","AVAILABLE","generic_bbox_sot","RGB","PASS","PASS","PASS","PENDING","PENDING","PENDING","Generic RGB bbox SOT","Official repo provides code trained models raw results and evaluation scripts"
"CX054","OmniTracker: Unifying Visual Object Tracking by Tracking-With-Detection","2025","IEEE TPAMI","published","A","https://xplorestaging.ieee.org/document/10842236","","PENDING","PENDING","unified_tracking_including_sot","RGB","PASS","PASS","PENDING","PENDING","PENDING","PENDING","Includes standard RGB instance tracking and SOT","Official IEEE publication verified; full artifact conjunction not traced"
"CX055","Exploring Efficient and Effective Sequence Learning for Visual Object Tracking (FastSeqTrack)","2025","IJCAI","PUBLISHED","A","https://www.ijcai.org/proceedings/2025/153","https://github.com/vision4drones/FastSeqTrack","MISSING","MISSING","generic_rgb_sot","RGB","PASS","PASS","FAIL","PENDING","PENDING","PENDING","2025 generic RGB bounding-box SOT","Official IJCAI publication; the paper-linked repository contains an unrelated Google ViT README and no FastSeqTrack implementation-checkpoint-evaluator bundle."
"CX056","SSTrack: Sample-interval Scheduling for Lightweight Visual Object Tracking","2025","IJCAI","PUBLISHED","A","https://www.ijcai.org/proceedings/2025/147","https://github.com/Kou-99/SSTrack","MISSING","MISSING","generic_rgb_sot","RGB","PASS","PASS","FAIL","PENDING","PENDING","PENDING","2025 generic RGB bounding-box SOT","Official IJCAI publication includes general SOT benchmarks; the paper-linked official repository is empty."
"CX057","Wave-wise Discriminative Tracking by Phase-Amplitude Separation, Augmentation and Mixture (WDT)","2025","IJCAI","PUBLISHED","A","https://www.ijcai.org/proceedings/2025/215","","PENDING","PENDING","generic_rgb_sot","RGB","PASS","PASS","PENDING","PENDING","PENDING","PENDING","2025 generic RGB bounding-box SOT","Official IJCAI generic RGB SOT publication; no complete official source-checkpoint-evaluator bundle was established."
"CX058","Exploiting Lightweight Hierarchical ViT and Dynamic Framework for Efficient Visual Tracking / HiT-DyHiT","2025","IJCV","published","A","https://link.springer.com/article/10.1007/s11263-025-02500-9","https://github.com/kangben258/HiT","AVAILABLE","AVAILABLE","generic_bbox_sot","RGB","PASS","PASS","PASS","PENDING","PENDING","PENDING","Generic efficient RGB bbox SOT","Official repo provides code trained models raw results evaluators and ONNX utilities"
"CX059","A visual object tracking method based on historical prompts of Mamba","2025","Knowledge-Based Systems","PUBLISHED","A","https://www.sciencedirect.com/science/article/pii/S0950705125017526","","PENDING","PENDING","historical_prompt_state_space_rgb_sot","RGB","PASS","PASS","PENDING","PENDING","PENDING","PENDING","2025-2026 Core-compatible scientific-audit queue","Official paper verified; no official artifact bundle located."
"CX060","STATrack: Spatio-temporal adaptive transformer with consistency-aware memory distillation for visual tracking","2025","Knowledge-Based Systems","PUBLISHED","A","https://www.sciencedirect.com/science/article/pii/S0950705125004071","","PENDING","PENDING","spatiotemporal_adaptive_memory_rgb_sot","RGB","PASS","PASS","PENDING","PENDING","PENDING","PENDING","2025-2026 Core-compatible scientific-audit queue","Official paper verified; no official source/checkpoint/evaluator bundle located."
"CX061","LoRATv2: Enabling Low-Cost Temporal Modeling in One-Stream Trackers","2025","NeurIPS","PUBLISHED","A","https://papers.nips.cc/paper_files/paper/2025/hash/ad7e42e7b1f638e991d822724969be45-Abstract-Conference.html","https://github.com/LitingLin/LoRATv2","MISSING","MISSING","generic_rgb_sot","RGB","PASS","PASS","FAIL","PENDING","PENDING","PENDING","2025 generic RGB bounding-box SOT","Official proceedings link the repository; repository states model weights and READMEs are coming soon so HG3 cannot pass."
"CX062","Instance-aware global re-detection for precise and efficient long-term visual tracking / IGR","2025","Neurocomputing","published","A","https://www.sciencedirect.com/science/article/pii/S0925231225020636","https://github.com/rvpagehhj/IGR","MISSING","MISSING","generic_long_term_bbox_sot","RGB","PASS","PASS","FAIL","PENDING","PENDING","PENDING","Generic RGB long-term SOT plug-in","Official repo has source tree but no released checkpoint or complete evaluation instructions"
"CX063","Adaptively Bypassing Vision Transformer Blocks for Efficient Visual Tracking / ABTrack","2025","Pattern Recognition","published","A","https://doi.org/10.1016/j.patcog.2024.111278","https://github.com/xyyang317/ABTrack","MISSING","MISSING","generic_bbox_sot","RGB","PASS","PASS","FAIL","PENDING","PENDING","PENDING","Generic efficient RGB bbox SOT","Paper-linked official repository contained only README"
"CX064","Improving Accuracy and Generalization for Efficient Visual Tracking (SiamABC)","2025","WACV","PUBLISHED","A","https://openaccess.thecvf.com/content/WACV2025/html/Zaveri_Improving_Accuracy_and_Generalization_for_Efficient_Visual_Tracking_WACV_2025_paper.html","https://github.com/wvuvl/SiamABC","AVAILABLE","AVAILABLE","generic_rgb_sot","RGB","PASS","PASS","PASS","PENDING","PENDING","PENDING","2025 generic RGB bounding-box SOT","Official repository exposes source; model assets; and evaluation scripts. Author-reported hardware results do not establish HG5. Repository provenance caution: the SiamABC implementation is on the master branch while the current default branch points to unrelated AEVT material; pin the branch/commit in Stage 2."
"CX065","CompTrack","2026","AAAI","published","B","https://ojs.aaai.org/index.php/AAAI/article/view/38385","","PENDING","PENDING","3d_sot","point_cloud","PASS","FAIL","PENDING","PENDING","PENDING","PENDING","3D point-cloud task differs from RGB bbox SOT","Official AAAI publication"
"CX066","Surgical Point Tracking with Text","2026","AAAI","published","B","https://ojs.aaai.org/index.php/AAAI/article/view/38383","","PENDING","PENDING","surgical_point_tracking","RGB_Text","PASS","FAIL","PENDING","PENDING","PENDING","PENDING","Surgical point output and text input differ from bbox SOT","Official AAAI publication"
"CX067","Unaligned UAV RGBT Tracking","2026","AAAI","published","B","https://ojs.aaai.org/index.php/AAAI/article/view/38079","","PENDING","PENDING","uav_multimodal_sot","RGB_Thermal","PASS","FAIL","PENDING","PENDING","PENDING","PENDING","Requires thermal modality and is UAV-specialized","Official AAAI publication"
