record_id,dataset,sequence,frame_count,object_class,official_attributes,candidate_distractor_reason,potential_control_sequence_reason,inspection_basis,completeness,manager_review_status,notes
E2-OTB100-022,OTB100,CarScale,252,car,SV|OCC|FM|IPR|OPR,,Direct observation in all fixed samples: one car is isolated on a rural road with no second vehicle.,"Direct observation: fixed canonical first/lower-middle/last JPGs 0001.jpg/0126.jpg/0252.jpg. Metadata/file basis: pinned evaluator for canonical order, object class, frame range, and GT map; official attribute JSON for tags; full canonical-image decode and GT-row-count checks.",COMPLETE,PENDING,Canonical range 1-252; 252 frames. GT mapping CarScale/groundtruth_rect.txt has 252 rows mapped sequentially. Local canonical images and GT text are readable.
E2-OTB100-023,OTB100,ClifBar,472,other,SV|OCC|MB|FM|IPR|OV|BC,,Direct observation in all fixed samples: one product package is held prominently; background office objects are visibly different.,"Direct observation: fixed canonical first/lower-middle/last JPGs 0001.jpg/0236.jpg/0472.jpg. Metadata/file basis: pinned evaluator for canonical order, object class, frame range, and GT map; official attribute JSON for tags; full canonical-image decode and GT-row-count checks.",COMPLETE,PENDING,Canonical range 1-472; 472 frames. GT mapping ClifBar/groundtruth_rect.txt has 472 rows mapped sequentially. Local canonical images and GT text are readable.
E2-OTB100-024,OTB100,Coke,291,other,IV|OCC|FM|IPR|OPR|BC,,Direct observation in all fixed samples: one beverage can is isolated against plants and a lamp.,"Direct observation: fixed canonical first/lower-middle/last JPGs 0001.jpg/0146.jpg/0291.jpg. Metadata/file basis: pinned evaluator for canonical order, object class, frame range, and GT map; official attribute JSON for tags; full canonical-image decode and GT-row-count checks.",COMPLETE,PENDING,Canonical range 1-291; 291 frames. GT mapping Coke/groundtruth_rect.txt has 291 rows mapped sequentially. Local canonical images and GT text are readable.
E2-OTB100-025,OTB100,Couple,140,person,SV|DEF|FM|OPR|BC,Direct observation in all fixed samples: a second pedestrian walks directly beside the annotated person at similar scale.,,"Direct observation: fixed canonical first/lower-middle/last JPGs 0001.jpg/0070.jpg/0140.jpg. Metadata/file basis: pinned evaluator for canonical order, object class, frame range, and GT map; official attribute JSON for tags; full canonical-image decode and GT-row-count checks.",COMPLETE,PENDING,Canonical range 1-140; 140 frames. GT mapping Couple/groundtruth_rect.txt has 140 rows mapped sequentially. Local canonical images and GT text are readable.
E2-OTB100-026,OTB100,Coupon,327,other,OCC|BC,Direct observation at the lower-middle and last fixed samples: multiple nearly identical printed coupon sheets co-occur.,,"Direct observation: fixed canonical first/lower-middle/last JPGs 0001.jpg/0164.jpg/0327.jpg. Metadata/file basis: pinned evaluator for canonical order, object class, frame range, and GT map; official attribute JSON for tags; full canonical-image decode and GT-row-count checks.",COMPLETE,PENDING,Canonical range 1-327; 327 frames. GT mapping Coupon/groundtruth_rect.txt has 327 rows mapped sequentially. Local canonical images and GT text are readable.
E2-OTB100-027,OTB100,Crossing,120,person,SV|DEF|FM|OPR|BC,Direct observation at the first fixed sample: a second non-annotated pedestrian is visible across the intersection.,,"Direct observation: fixed canonical first/lower-middle/last JPGs 0001.jpg/0060.jpg/0120.jpg. Metadata/file basis: pinned evaluator for canonical order, object class, frame range, and GT map; official attribute JSON for tags; full canonical-image decode and GT-row-count checks.",COMPLETE,PENDING,Canonical range 1-120; 120 frames. GT mapping Crossing/groundtruth_rect.txt has 120 rows mapped sequentially. Local canonical images and GT text are readable.
E2-OTB100-028,OTB100,Crowds,347,person,IV|DEF|BC,Direct observation in all fixed samples: numerous non-annotated pedestrians co-occur in the same overhead street view.,,"Direct observation: fixed canonical first/lower-middle/last JPGs 0001.jpg/0174.jpg/0347.jpg. Metadata/file basis: pinned evaluator for canonical order, object class, frame range, and GT map; official attribute JSON for tags; full canonical-image decode and GT-row-count checks.",COMPLETE,PENDING,Canonical range 1-347; 347 frames. GT mapping Crowds/groundtruth_rect.txt has 347 rows mapped sequentially. Local canonical images and GT text are readable.
E2-OTB100-029,OTB100,Dancer,225,person,SV|DEF|IPR|OPR,,Direct observation in all fixed samples: one dancer is isolated in an uncluttered studio.,"Direct observation: fixed canonical first/lower-middle/last JPGs 0001.jpg/0113.jpg/0225.jpg. Metadata/file basis: pinned evaluator for canonical order, object class, frame range, and GT map; official attribute JSON for tags; full canonical-image decode and GT-row-count checks.",COMPLETE,PENDING,Canonical range 1-225; 225 frames. GT mapping Dancer/groundtruth_rect.txt has 225 rows mapped sequentially. Local canonical images and GT text are readable.
E2-OTB100-030,OTB100,Dancer2,150,person,DEF,,Direct observation in all fixed samples: one dancer is isolated on stage.,"Direct observation: fixed canonical first/lower-middle/last JPGs 0001.jpg/0075.jpg/0150.jpg. Metadata/file basis: pinned evaluator for canonical order, object class, frame range, and GT map; official attribute JSON for tags; full canonical-image decode and GT-row-count checks.",COMPLETE,PENDING,Canonical range 1-150; 150 frames. GT mapping Dancer2/groundtruth_rect.txt has 150 rows mapped sequentially. Local canonical images and GT text are readable.
E2-OTB100-031,OTB100,David,471,face,IV|SV|OCC|DEF|MB|IPR|OPR,,Direct observation in all fixed samples: one face is visible with no comparable face nearby.,"Direct observation: fixed canonical first/lower-middle/last JPGs 0300.jpg/0535.jpg/0770.jpg. Metadata/file basis: pinned evaluator for canonical order, object class, frame range, and GT map; official attribute JSON for tags; full canonical-image decode and GT-row-count checks.",COMPLETE,PENDING,Canonical range 300-770; 471 frames. GT mapping David/groundtruth_rect.txt has 471 rows mapped sequentially. Local canonical images and GT text are readable.
E2-OTB100-032,OTB100,David2,537,face,IPR|OPR,,Direct observation in all fixed samples: one person is isolated in the office.,"Direct observation: fixed canonical first/lower-middle/last JPGs 0001.jpg/0269.jpg/0537.jpg. Metadata/file basis: pinned evaluator for canonical order, object class, frame range, and GT map; official attribute JSON for tags; full canonical-image decode and GT-row-count checks.",COMPLETE,PENDING,Canonical range 1-537; 537 frames. GT mapping David2/groundtruth_rect.txt has 537 rows mapped sequentially. Local canonical images and GT text are readable.
E2-OTB100-033,OTB100,David3,252,person,OCC|DEF|OPR|BC,,Direct observation in all fixed samples: one pedestrian is visible; co-occurring cars are a different class.,"Direct observation: fixed canonical first/lower-middle/last JPGs 0001.jpg/0126.jpg/0252.jpg. Metadata/file basis: pinned evaluator for canonical order, object class, frame range, and GT map; official attribute JSON for tags; full canonical-image decode and GT-row-count checks.",COMPLETE,PENDING,Canonical range 1-252; 252 frames. GT mapping David3/groundtruth_rect.txt has 252 rows mapped sequentially. Local canonical images and GT text are readable.
E2-OTB100-034,OTB100,Deer,71,mammal,MB|FM|IPR|BC|LR,Direct observation in all fixed samples: multiple non-annotated deer with similar appearance co-occur at comparable scale.,,"Direct observation: fixed canonical first/lower-middle/last JPGs 0001.jpg/0036.jpg/0071.jpg. Metadata/file basis: pinned evaluator for canonical order, object class, frame range, and GT map; official attribute JSON for tags; full canonical-image decode and GT-row-count checks.",COMPLETE,PENDING,Canonical range 1-71; 71 frames. GT mapping Deer/groundtruth_rect.txt has 71 rows mapped sequentially. Local canonical images and GT text are readable.
E2-OTB100-035,OTB100,Diving,215,person,SV|DEF|IPR,,,"Direct observation: fixed canonical first/lower-middle/last JPGs 0001.jpg/0108.jpg/0215.jpg. Metadata/file basis: pinned evaluator for canonical order, object class, frame range, and GT map; official attribute JSON for tags; full canonical-image decode and GT-row-count checks.",COMPLETE,PENDING,Canonical range 1-215; 215 frames. GT mapping Diving/groundtruth_rect.txt has 215 rows mapped sequentially. Local canonical images and GT text are readable.
E2-OTB100-036,OTB100,Dog,127,dog,SV|DEF|OPR,,Direct observation in all fixed samples: one dog is visible; the nearby human is a different class.,"Direct observation: fixed canonical first/lower-middle/last JPGs 0001.jpg/0064.jpg/0127.jpg. Metadata/file basis: pinned evaluator for canonical order, object class, frame range, and GT map; official attribute JSON for tags; full canonical-image decode and GT-row-count checks.",COMPLETE,PENDING,Canonical range 1-127; 127 frames. GT mapping Dog/groundtruth_rect.txt has 127 rows mapped sequentially. Local canonical images and GT text are readable.
E2-OTB100-037,OTB100,Dog1,1350,dog,SV|IPR|OPR,,Direct observation in all fixed samples: one plush dog is visible with no second dog-like object.,"Direct observation: fixed canonical first/lower-middle/last JPGs 0001.jpg/0675.jpg/1350.jpg. Metadata/file basis: pinned evaluator for canonical order, object class, frame range, and GT map; official attribute JSON for tags; full canonical-image decode and GT-row-count checks.",COMPLETE,PENDING,Canonical range 1-1350; 1350 frames. GT mapping Dog1/groundtruth_rect.txt has 1350 rows mapped sequentially. Local canonical images and GT text are readable.
E2-OTB100-038,OTB100,Doll,3872,other,IV|SV|OCC|IPR|OPR,,Direct observation in all fixed samples: one doll is held prominently; the wall poster is visibly different.,"Direct observation: fixed canonical first/lower-middle/last JPGs 0001.jpg/1936.jpg/3872.jpg. Metadata/file basis: pinned evaluator for canonical order, object class, frame range, and GT map; official attribute JSON for tags; full canonical-image decode and GT-row-count checks.",COMPLETE,PENDING,Canonical range 1-3872; 3872 frames. GT mapping Doll/groundtruth_rect.txt has 3872 rows mapped sequentially. Local canonical images and GT text are readable.
E2-OTB100-039,OTB100,DragonBaby,113,face,SV|OCC|MB|FM|IPR|OPR|OV,,,"Direct observation: fixed canonical first/lower-middle/last JPGs 0001.jpg/0057.jpg/0113.jpg. Metadata/file basis: pinned evaluator for canonical order, object class, frame range, and GT map; official attribute JSON for tags; full canonical-image decode and GT-row-count checks.",COMPLETE,PENDING,Canonical range 1-113; 113 frames. GT mapping DragonBaby/groundtruth_rect.txt has 113 rows mapped sequentially. Local canonical images and GT text are readable.
E2-OTB100-040,OTB100,Dudek,1145,face,SV|OCC|DEF|FM|IPR|OPR|OV|BC,,Direct observation in all fixed samples: one face is visible with no second face.,"Direct observation: fixed canonical first/lower-middle/last JPGs 0001.jpg/0573.jpg/1145.jpg. Metadata/file basis: pinned evaluator for canonical order, object class, frame range, and GT map; official attribute JSON for tags; full canonical-image decode and GT-row-count checks.",COMPLETE,PENDING,Canonical range 1-1145; 1145 frames. GT mapping Dudek/groundtruth_rect.txt has 1145 rows mapped sequentially. Local canonical images and GT text are readable.
E2-OTB100-041,OTB100,FaceOcc1,892,face,OCC,,Direct observation in all fixed samples: one face is isolated; the handheld magazine is a different class.,"Direct observation: fixed canonical first/lower-middle/last JPGs 0001.jpg/0446.jpg/0892.jpg. Metadata/file basis: pinned evaluator for canonical order, object class, frame range, and GT map; official attribute JSON for tags; full canonical-image decode and GT-row-count checks.",COMPLETE,PENDING,Canonical range 1-892; 892 frames. GT mapping FaceOcc1/groundtruth_rect.txt has 892 rows mapped sequentially. Local canonical images and GT text are readable.
E2-OTB100-042,OTB100,FaceOcc2,812,face,IV|OCC|IPR|OPR,,Direct observation in all fixed samples: one face is isolated; office objects and the book are different classes.,"Direct observation: fixed canonical first/lower-middle/last JPGs 0001.jpg/0406.jpg/0812.jpg. Metadata/file basis: pinned evaluator for canonical order, object class, frame range, and GT map; official attribute JSON for tags; full canonical-image decode and GT-row-count checks.",COMPLETE,PENDING,Canonical range 1-812; 812 frames. GT mapping FaceOcc2/groundtruth_rect.txt has 812 rows mapped sequentially. Local canonical images and GT text are readable.
E2-OTB100-043,OTB100,Fish,476,other,IV,,Direct observation in all fixed samples: one fish-shaped object is centered; surrounding books/display items are visibly different.,"Direct observation: fixed canonical first/lower-middle/last JPGs 0001.jpg/0238.jpg/0476.jpg. Metadata/file basis: pinned evaluator for canonical order, object class, frame range, and GT map; official attribute JSON for tags; full canonical-image decode and GT-row-count checks.",COMPLETE,PENDING,Canonical range 1-476; 476 frames. GT mapping Fish/groundtruth_rect.txt has 476 rows mapped sequentially. Local canonical images and GT text are readable.
E2-OTB100-044,OTB100,FleetFace,707,face,SV|DEF|MB|FM|IPR|OPR,,Direct observation in all fixed samples: one face is visible with no second face.,"Direct observation: fixed canonical first/lower-middle/last JPGs 0001.jpg/0354.jpg/0707.jpg. Metadata/file basis: pinned evaluator for canonical order, object class, frame range, and GT map; official attribute JSON for tags; full canonical-image decode and GT-row-count checks.",COMPLETE,PENDING,Canonical range 1-707; 707 frames. GT mapping FleetFace/groundtruth_rect.txt has 707 rows mapped sequentially. Local canonical images and GT text are readable.
E2-OTB100-045,OTB100,Football,362,person head,OCC|IPR|OPR|BC,Direct observation in all fixed samples: many non-annotated helmeted players and heads co-occur at comparable scale.,,"Direct observation: fixed canonical first/lower-middle/last JPGs 0001.jpg/0181.jpg/0362.jpg. Metadata/file basis: pinned evaluator for canonical order, object class, frame range, and GT map; official attribute JSON for tags; full canonical-image decode and GT-row-count checks.",COMPLETE,PENDING,Canonical range 1-362; 362 frames. GT mapping Football/groundtruth_rect.txt has 362 rows mapped sequentially. Local canonical images and GT text are readable.
E2-OTB100-046,OTB100,Football1,74,face,IPR|OPR|BC,Direct observation in all fixed samples: multiple non-annotated football players and faces co-occur in a dense play.,,"Direct observation: fixed canonical first/lower-middle/last JPGs 0001.jpg/0037.jpg/0074.jpg. Metadata/file basis: pinned evaluator for canonical order, object class, frame range, and GT map; official attribute JSON for tags; full canonical-image decode and GT-row-count checks.",COMPLETE,PENDING,Canonical range 1-74; 74 frames. GT mapping Football1/groundtruth_rect.txt has 74 rows mapped sequentially. Local canonical images and GT text are readable.
E2-OTB100-047,OTB100,Freeman1,326,face,SV|IPR|OPR,,Direct observation in all fixed samples: one person/face is isolated in the classroom.,"Direct observation: fixed canonical first/lower-middle/last JPGs 0001.jpg/0163.jpg/0326.jpg. Metadata/file basis: pinned evaluator for canonical order, object class, frame range, and GT map; official attribute JSON for tags; full canonical-image decode and GT-row-count checks.",COMPLETE,PENDING,Canonical range 1-326; 326 frames. GT mapping Freeman1/groundtruth_rect.txt has 326 rows mapped sequentially. Local canonical images and GT text are readable.
E2-OTB100-048,OTB100,Freeman3,460,face,SV|IPR|OPR,Direct observation in all fixed samples: numerous non-annotated classroom faces and people co-occur around the annotated face.,,"Direct observation: fixed canonical first/lower-middle/last JPGs 0001.jpg/0230.jpg/0460.jpg. Metadata/file basis: pinned evaluator for canonical order, object class, frame range, and GT map; official attribute JSON for tags; full canonical-image decode and GT-row-count checks.",COMPLETE,PENDING,Canonical range 1-460; 460 frames. GT mapping Freeman3/groundtruth_rect.txt has 460 rows mapped sequentially. Local canonical images and GT text are readable.
E2-OTB100-049,OTB100,Freeman4,283,face,SV|OCC|IPR|OPR,Direct observation in all fixed samples: a dense classroom crowd provides many non-annotated faces at similar scale.,,"Direct observation: fixed canonical first/lower-middle/last JPGs 0001.jpg/0142.jpg/0283.jpg. Metadata/file basis: pinned evaluator for canonical order, object class, frame range, and GT map; official attribute JSON for tags; full canonical-image decode and GT-row-count checks.",COMPLETE,PENDING,Canonical range 1-283; 283 frames. GT mapping Freeman4/groundtruth_rect.txt has 283 rows mapped sequentially. Local canonical images and GT text are readable.
E2-OTB100-050,OTB100,Girl,500,face,SV|OCC|IPR|OPR,Direct observation at the last fixed sample: a second non-annotated face appears immediately behind the annotated face.,,"Direct observation: fixed canonical first/lower-middle/last JPGs 0001.jpg/0250.jpg/0500.jpg. Metadata/file basis: pinned evaluator for canonical order, object class, frame range, and GT map; official attribute JSON for tags; full canonical-image decode and GT-row-count checks.",COMPLETE,PENDING,Canonical range 1-500; 500 frames. GT mapping Girl/groundtruth_rect.txt has 500 rows mapped sequentially. Local canonical images and GT text are readable.
E2-OTB100-051,OTB100,Girl2,1500,person,SV|OCC|DEF|MB|OPR,Direct observation at the first and lower-middle fixed samples: another child and several adults/children co-occur with the annotated child.,,"Direct observation: fixed canonical first/lower-middle/last JPGs 0001.jpg/0750.jpg/1500.jpg. Metadata/file basis: pinned evaluator for canonical order, object class, frame range, and GT map; official attribute JSON for tags; full canonical-image decode and GT-row-count checks.",COMPLETE,PENDING,Canonical range 1-1500; 1500 frames. GT mapping Girl2/groundtruth_rect.txt has 1500 rows mapped sequentially. Local canonical images and GT text are readable.
E2-OTB100-052,OTB100,Gym,767,person,SV|DEF|IPR|OPR,,Direct observation in all fixed samples: one foreground gymnast is clearly resolved; spectators remain distant background.,"Direct observation: fixed canonical first/lower-middle/last JPGs 0001.jpg/0384.jpg/0767.jpg. Metadata/file basis: pinned evaluator for canonical order, object class, frame range, and GT map; official attribute JSON for tags; full canonical-image decode and GT-row-count checks.",COMPLETE,PENDING,Canonical range 1-767; 767 frames. GT mapping Gym/groundtruth_rect.txt has 767 rows mapped sequentially. Local canonical images and GT text are readable.
