record_id,source_graph,source_file,source_sequence,bibtex_type,bibtex_key,title,normalized_title,first_author,all_authors,year,venue,doi,arxiv_id,semantic_scholar_id,metadata_url,primary_paper_url,publication_status,visual_SOT_relevance,relevance_basis,has_official_code,official_code_url,candidate_solution_families,family_evidence_terms,abstract,volume,pages,pmid
FARTrack:24:b17e426477160a7b7c68b92bf3138224c8858e0b,FARTrack,E:\Robot_Backup\Tracker_Q1_Documents\ConnectedPapers-for-FARTrack%3A-Fast-Autoregressive-Visual-Tracking-with-High-Performance.bib,24,article,b17e426477160a7b7c68b92bf3138224c8858e0b,Siamese Visual Tracking With Multi-Parallel Interactive Transformers,siamese visual tracking with multi parallel interactive transformers,Wuwei Wang,Wuwei Wang and Meibo Lv and Lin Zhu and Tuo Han and Yi Zhang and Yuanqing Li,2025,IEEE Transactions on Circuits and Systems for Video Technology,10.1109/tcsvt.2025.3569633,UNKNOWN,b17e426477160a7b7c68b92bf3138224c8858e0b,https://www.semanticscholar.org/paper/b17e426477160a7b7c68b92bf3138224c8858e0b,https://doi.org/10.1109/tcsvt.2025.3569633,JOURNAL_LISTED_UNVERIFIED,SUPPORTING,visual-tracking/tracker term in title or abstract,UNKNOWN,UNKNOWN,Dynamic / conditional computation; Block / layer reduction; Asymmetric template-search architecture,"Dynamic / conditional computation: dynamic | Block / layer reduction: shallow | Asymmetric template-search architecture: siamese, two stream","In recent years, Siamese network-based visual tracking methods have gained popularity and success in terms of efficiency and accuracy. However, typical Siamese trackers utilize two independent weight-sharing streams to describe the exemplar and search region without any interaction between the two streams. As a result, such trackers employ only shallow cross-correlation or correlation filters to obtain the final information association, which neglects the deep interaction between the exemplar and search region and may reduce the discriminative power of the trackers. To address this issue, we propose a novel multi-parallel interactive transformer-based (MPIT) tracking framework to introduce sufficient interaction so that the two streams can guide the prediction heads to focus on the target more easily. Unlike recent one-stream transformer-based trackers that directly concatenate template and search tokens to perform joint feature learning, our multi-parallel interactive framework introduces a transmission band module to deliver global information for both the exemplar and the search region with low computational cost. Moreover, to integrate dynamic information, we incorporate temporal level extraction into the tracking framework to increase the variety of the templates. The experimental results show that the proposed MPIT method achieves a remarkable tracking speed of 136 frames per second (FPS) while attaining performance better than or comparable to that of state-of-the-art trackers.",35,10353-10366,UNKNOWN
FARTrack:25:ff612e77c57789c945e9b339f4df001407ef1138,FARTrack,E:\Robot_Backup\Tracker_Q1_Documents\ConnectedPapers-for-FARTrack%3A-Fast-Autoregressive-Visual-Tracking-with-High-Performance.bib,25,article,ff612e77c57789c945e9b339f4df001407ef1138,CLDTracker: A Comprehensive Language Description for Visual Tracking,cldtracker a comprehensive language description for visual tracking,Mohamad Alansari,Mohamad Alansari and Sajid Javed and I. Ganapathi and Sara Alansari and Muzammal Naseer,2025,Inf. Fusion,10.1016/j.inffus.2025.103374,2505.23704,ff612e77c57789c945e9b339f4df001407ef1138,https://www.semanticscholar.org/paper/ff612e77c57789c945e9b339f4df001407ef1138,https://doi.org/10.1016/j.inffus.2025.103374,JOURNAL_LISTED_UNVERIFIED,SUPPORTING,visual-tracking/tracker term in title or abstract,YES,https://github.com/HamadYA/CLDTracker,Dynamic / conditional computation; Robustness / distractor handling,"Dynamic / conditional computation: dynamic | Robustness / distractor handling: background, occlusion, robust","VOT remains a fundamental yet challenging task in computer vision due to dynamic appearance changes, occlusions, and background clutter. Traditional trackers, relying primarily on visual cues, often struggle in such complex scenarios. Recent advancements in VLMs have shown promise in semantic understanding for tasks like open-vocabulary detection and image captioning, suggesting their potential for VOT. However, the direct application of VLMs to VOT is hindered by critical limitations: the absence of a rich and comprehensive textual representation that semantically captures the target object's nuances, limiting the effective use of language information; inefficient fusion mechanisms that fail to optimally integrate visual and textual features, preventing a holistic understanding of the target; and a lack of temporal modeling of the target's evolving appearance in the language domain, leading to a disconnect between the initial description and the object's subsequent visual changes. To bridge these gaps and unlock the full potential of VLMs for VOT, we propose CLDTracker, a novel Comprehensive Language Description framework for robust visual Tracking. Our tracker introduces a dual-branch architecture consisting of a textual and a visual branch. In the textual branch, we construct a rich bag of textual descriptions derived by harnessing the powerful VLMs such as CLIP and GPT-4V, enriched with semantic and contextual cues to address the lack of rich textual representation. Experiments on six standard VOT benchmarks demonstrate that CLDTracker achieves SOTA performance, validating the effectiveness of leveraging robust and temporally-adaptive vision-language representations for tracking. Code and models are publicly available at: https://github.com/HamadYA/CLDTracker",124,103374,UNKNOWN
FARTrack:26:621ce5f861b47f368da67982fbb8e2211afc1d3d,FARTrack,E:\Robot_Backup\Tracker_Q1_Documents\ConnectedPapers-for-FARTrack%3A-Fast-Autoregressive-Visual-Tracking-with-High-Performance.bib,26,article,621ce5f861b47f368da67982fbb8e2211afc1d3d,CausTrack: Visual tracking via structural causality and deconfounded feature learning,caustrack visual tracking via structural causality and deconfounded feature learning,Yongjun Wang,Yongjun Wang and Xiaohui Hao,2025,Neurocomputing,10.1016/j.neucom.2025.132340,UNKNOWN,621ce5f861b47f368da67982fbb8e2211afc1d3d,https://www.semanticscholar.org/paper/621ce5f861b47f368da67982fbb8e2211afc1d3d,https://doi.org/10.1016/j.neucom.2025.132340,JOURNAL_LISTED_UNVERIFIED,SUPPORTING,visual-tracking/tracker term in title or abstract,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,668,132340,UNKNOWN
FARTrack:27:a1f6a0471c0c73a7d6bf3dc3d31e9d3775ab26ee,FARTrack,E:\Robot_Backup\Tracker_Q1_Documents\ConnectedPapers-for-FARTrack%3A-Fast-Autoregressive-Visual-Tracking-with-High-Performance.bib,27,article,a1f6a0471c0c73a7d6bf3dc3d31e9d3775ab26ee,Exploring Dynamic Transformer for Efficient Object Tracking,exploring dynamic transformer for efficient object tracking,Jiawen Zhu,Jiawen Zhu and Xin Chen and Haiwen Diao and Shuai Li and Jun-Yan He and Chenyang Li and Bin Luo and Dong Wang and Huchuan Lu,2024,IEEE Transactions on Neural Networks and Learning Systems,10.1109/tnnls.2025.3545752,2403.17651,a1f6a0471c0c73a7d6bf3dc3d31e9d3775ab26ee,https://www.semanticscholar.org/paper/a1f6a0471c0c73a7d6bf3dc3d31e9d3775ab26ee,https://doi.org/10.1109/tnnls.2025.3545752,JOURNAL_LISTED_UNVERIFIED,SUPPORTING,visual-tracking/tracker term in title or abstract,UNKNOWN,UNKNOWN,Model compression / distillation; Dynamic / conditional computation; Lightweight backbone design; Template computation reuse; Target-aware representation; Training / loss redesign,"Model compression / distillation: distill | Dynamic / conditional computation: dynamic, routing | Lightweight backbone design: lightweight, resource-constrained | Template computation reuse: recycl | Target-aware representation: target-aware | Training / loss redesign: self-distillation","The speed-precision tradeoff is a critical problem in visual object tracking, as it typically requires low latency and is deployed on resource-constrained platforms. Existing solutions for efficient tracking primarily focus on lightweight backbones or modules, which, however, come at a sacrifice in precision. In this article, inspired by dynamic network routing, we propose DyTrack, a dynamic transformer framework for efficient tracking. Real-world tracking scenarios exhibit varying levels of complexity. We argue that a simple network is sufficient for easy video frames, while more computational resources should be assigned to difficult ones. DyTrack automatically learns to configure proper reasoning routes for different inputs, thereby improving the utilization of the available computational budget and achieving higher performance at the same running speed. We formulate instance-specific tracking as a sequential decision problem and incorporate terminating branches to intermediate layers of the model. Furthermore, we propose a feature recycling mechanism to maximize computational efficiency by reusing the outputs of predecessors. Additionally, a target-aware self-distillation strategy is designed to enhance the discriminating capabilities of early-stage predictions by mimicking the representation patterns of the deep model. Extensive experiments demonstrate that DyTrack achieves promising speed-precision tradeoffs with only a single model. For instance, DyTrack obtains 64.9% area under the curve (AUC) on LaSOT with a speed of 256 fps.",36,15502-15514,40173065
FARTrack:28:5cf588279fa2afc972956ba4c92c227694baa561,FARTrack,E:\Robot_Backup\Tracker_Q1_Documents\ConnectedPapers-for-FARTrack%3A-Fast-Autoregressive-Visual-Tracking-with-High-Performance.bib,28,article,5cf588279fa2afc972956ba4c92c227694baa561,LoReTrack: Efficient and Accurate Low-Resolution Transformer Tracking,loretrack efficient and accurate low resolution transformer tracking,Shaohua Dong,Shaohua Dong and Yunhe Feng and Qing Yang and Yuewei Lin and Heng Fan,2024,ArXiv,10.48550/arxiv.2405.17660,2405.17660,5cf588279fa2afc972956ba4c92c227694baa561,https://www.semanticscholar.org/paper/5cf588279fa2afc972956ba4c92c227694baa561,https://doi.org/10.48550/arxiv.2405.17660,ARXIV_PREPRINT,SUPPORTING,visual-tracking/tracker term in title or abstract,UNKNOWN,UNKNOWN,Model compression / distillation; Low-resolution / adaptive-resolution processing; Target-aware representation; Robustness / distractor handling; Training / loss redesign,"Model compression / distillation: distill | Low-resolution / adaptive-resolution processing: across resolutions, low resolution, low-resolution, smaller input | Target-aware representation: target-aware | Robustness / distractor handling: background | Training / loss redesign: knowledge distillation","High-performance Transformer trackers have shown excellent results, yet they often bear a heavy computational load. Observing that a smaller input can immediately and conveniently reduce computations without changing the model, an easy solution is to adopt the low-resolution input for efficient Transformer tracking. Albeit faster, this hurts tracking accuracy much due to information loss in low resolution tracking. In this paper, we aim to mitigate such information loss to boost the performance of the low-resolution Transformer tracking via dual knowledge distillation from a frozen high-resolution (but not a larger) Transformer tracker. The core lies in two simple yet effective distillation modules, comprising query-key-value knowledge distillation (QKV-KD) and discrimination knowledge distillation (Disc-KD), across resolutions. The former, from the global view, allows the low-resolution tracker to inherit the features and interactions from the high-resolution tracker, while the later, from the target-aware view, enhances the target-background distinguishing capacity via imitating discriminative regions from its high-resolution counterpart. With the dual knowledge distillation, our Low-Resolution Transformer Tracker (LoReTrack) enjoys not only high efficiency owing to reduced computation but also enhanced accuracy by distilling knowledge from the high-resolution tracker. In extensive experiments, LoReTrack with a 256x256 resolution consistently improves baseline with the same resolution, and shows competitive or even better results compared to 384x384 high-resolution Transformer tracker, while running 52% faster and saving 56% MACs. Moreover, LoReTrack is resolution-scalable. With a 128x128 resolution, it runs 25 fps on a CPU with 64.9%/46.4% SUC scores on LaSOT/LaSOText, surpassing all other CPU real-time trackers. Code will be released.",abs/2405.17660,UNKNOWN,UNKNOWN
FARTrack:29:4494aa22c6d4c9dc68a91b1b2819603b33656b13,FARTrack,E:\Robot_Backup\Tracker_Q1_Documents\ConnectedPapers-for-FARTrack%3A-Fast-Autoregressive-Visual-Tracking-with-High-Performance.bib,29,article,4494aa22c6d4c9dc68a91b1b2819603b33656b13,UETrack: A Unified and Efficient Framework for Single Object Tracking,uetrack a unified and efficient framework for single object tracking,Ben Kang,Ben Kang and Jie Zhao and Xin Chen and Wanting Geng and Bin Zhang and Lu Zhang and Dong Wang and Huchuan Lu,2026,ArXiv,10.48550/arxiv.2603.01412,2603.01412,4494aa22c6d4c9dc68a91b1b2819603b33656b13,https://www.semanticscholar.org/paper/4494aa22c6d4c9dc68a91b1b2819603b33656b13,https://doi.org/10.48550/arxiv.2603.01412,ARXIV_PREPRINT,SUPPORTING,visual-tracking/tracker term in title or abstract,YES,https://github.com/kangben258/UETrack,Model compression / distillation; Lightweight backbone design; Target-aware representation,Model compression / distillation: distill | Lightweight backbone design: resource-constrained | Target-aware representation: target-aware,"With growing real-world demands, efficient tracking has received increasing attention. However, most existing methods are limited to RGB inputs and struggle in multi-modal scenarios. Moreover, current multi-modal tracking approaches typically use complex designs, making them too heavy and slow for resource-constrained deployment. To tackle these limitations, we propose UETrack, an efficient framework for single object tracking. UETrack demonstrates high practicality and versatility, efficiently handling multiple modalities including RGB, Depth, Thermal, Event, and Language, and addresses the gap in efficient multi-modal tracking. It introduces two key components: a Token-Pooling-based Mixture-of-Experts mechanism that enhances modeling capacity through feature aggregation and expert specialization, and a Target-aware Adaptive Distillation strategy that selectively performs distillation based on sample characteristics, reducing redundant supervision and improving performance. Extensive experiments on 12 benchmarks across 3 hardware platforms show that UETrack achieves a superior speed-accuracy trade-off compared to previous methods. For instance, UETrack-B achieves 69.2% AUC on LaSOT and runs at 163/56/60 FPS on GPU/CPU/AGX, demonstrating strong practicality and versatility. Code is available at https://github.com/kangben258/UETrack.",abs/2603.01412,UNKNOWN,UNKNOWN
FARTrack:30:bc64a56b27efc2af9423a7c1715e44e265887ff9,FARTrack,E:\Robot_Backup\Tracker_Q1_Documents\ConnectedPapers-for-FARTrack%3A-Fast-Autoregressive-Visual-Tracking-with-High-Performance.bib,30,article,bc64a56b27efc2af9423a7c1715e44e265887ff9,GOT-Edit: Geometry-Aware Generic Object Tracking via Online Model Editing,got edit geometry aware generic object tracking via online model editing,Shih-Fang Chen,Shih-Fang Chen and Jun-Cheng Chen and I-Hong Jhuo and Yen-Yu Lin,2026,ArXiv,10.48550/arxiv.2602.08550,2602.08550,bc64a56b27efc2af9423a7c1715e44e265887ff9,https://www.semanticscholar.org/paper/bc64a56b27efc2af9423a7c1715e44e265887ff9,https://doi.org/10.48550/arxiv.2602.08550,ARXIV_PREPRINT,SUPPORTING,visual-tracking/tracker term in title or abstract,UNKNOWN,UNKNOWN,Robustness / distractor handling,"Robustness / distractor handling: distractor, occlusion, robust","Human perception for effective object tracking in 2D video streams arises from the implicit use of prior 3D knowledge and semantic reasoning. In contrast, most generic object tracking (GOT) methods primarily rely on 2D features of the target and its surroundings, while neglecting 3D geometric cues, making them susceptible to partial occlusion, distractors, and variations in geometry and appearance. To address this limitation, we introduce GOT-Edit, an online cross-modality model editing approach that integrates geometry-aware cues into a generic object tracker from a 2D video stream. Our approach leverages features from a pre-trained Visual Geometry Grounded Transformer to infer geometric cues from only a few 2D images. To address the challenge of seamlessly combining geometry and semantics, GOT-Edit performs online model editing. By leveraging null-space constraints during model updates, it incorporates geometric information while preserving semantic discrimination, yielding consistently better performance across diverse scenarios. Extensive experiments on multiple GOT benchmarks demonstrate that GOT-Edit achieves superior robustness and accuracy, particularly under occlusion and clutter, establishing a new paradigm for combining 2D semantics with 3D geometric reasoning for generic object tracking. The project page is available at https://chenshihfang.github.io/GOT-EDIT.",abs/2602.08550,UNKNOWN,UNKNOWN
FARTrack:31:d1054ba696350461941221b4f0a8b3b408a12d26,FARTrack,E:\Robot_Backup\Tracker_Q1_Documents\ConnectedPapers-for-FARTrack%3A-Fast-Autoregressive-Visual-Tracking-with-High-Performance.bib,31,article,d1054ba696350461941221b4f0a8b3b408a12d26,Improving Visual Object Tracking Through Visual Prompting,improving visual object tracking through visual prompting,Shih-Fang Chen,Shih-Fang Chen and Jun-Cheng Chen and I-Hong Jhuo and Yen-Yu Lin,2024,IEEE Transactions on Multimedia,10.1109/tmm.2025.3535323,2409.18901,d1054ba696350461941221b4f0a8b3b408a12d26,https://www.semanticscholar.org/paper/d1054ba696350461941221b4f0a8b3b408a12d26,https://doi.org/10.1109/tmm.2025.3535323,JOURNAL_LISTED_UNVERIFIED,SUPPORTING,visual-tracking/tracker term in title or abstract,UNKNOWN,UNKNOWN,Dynamic / conditional computation; Robustness / distractor handling,Dynamic / conditional computation: dynamic | Robustness / distractor handling: distractor,"Learning a discriminative model to distinguish a target from its surrounding distractors is essential to generic visual object tracking. Dynamic target representation adaptation against distractors is challenging due to the limited discriminative capabilities of prevailing trackers. We present a new visual Prompting mechanism for generic Visual Object Tracking (PiVOT) to address this issue. PiVOT proposes a prompt generation network with the pre-trained foundation model CLIP to automatically generate and refine visual prompts, enabling the transfer of foundation model knowledge for tracking. While CLIP offers broad category-level knowledge, the tracker, trained on instance-specific data, excels at recognizing unique object instances. Thus, PiVOT first compiles a visual prompt highlighting potential target locations. To transfer the knowledge of CLIP to the tracker, PiVOT leverages CLIP to refine the visual prompt based on the similarities between candidate objects and the reference templates across potential targets. Once the visual prompt is refined, it can better highlight potential target locations, thereby reducing irrelevant prompt information. With the proposed prompting mechanism, the tracker can generate improved instance-aware feature maps through the guidance of the visual prompt, thus effectively reducing distractors. The proposed method does not involve CLIP during training, thereby keeping the same training complexity and preserving the generalization capability of the pretrained foundation model. Extensive experiments across multiple benchmarks indicate that PiVOT, using the proposed prompting method can suppress distracting objects and enhance the tracker.",27,2682-2694,UNKNOWN
FARTrack:32:c54e5e0c573e2f40f9a253a102b2282dc5d6e96a,FARTrack,E:\Robot_Backup\Tracker_Q1_Documents\ConnectedPapers-for-FARTrack%3A-Fast-Autoregressive-Visual-Tracking-with-High-Performance.bib,32,article,c54e5e0c573e2f40f9a253a102b2282dc5d6e96a,FETrack: One-stream framework-based feature enhancement for object tracking,fetrack one stream framework based feature enhancement for object tracking,Yue Chen,Yue Chen and Huiying Xu and Xinzhong Zhu and Xuedong He and Hongbo Li and Yi Li,2026,Digit. Signal Process.,10.1016/j.dsp.2026.105935,UNKNOWN,c54e5e0c573e2f40f9a253a102b2282dc5d6e96a,https://www.semanticscholar.org/paper/c54e5e0c573e2f40f9a253a102b2282dc5d6e96a,https://doi.org/10.1016/j.dsp.2026.105935,JOURNAL_LISTED_UNVERIFIED,SUPPORTING,visual-tracking/tracker term in title or abstract,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,173,105935,UNKNOWN
FARTrack:33:69ac01ebd31a3a2945d1023803f712938a64b3d9,FARTrack,E:\Robot_Backup\Tracker_Q1_Documents\ConnectedPapers-for-FARTrack%3A-Fast-Autoregressive-Visual-Tracking-with-High-Performance.bib,33,article,69ac01ebd31a3a2945d1023803f712938a64b3d9,Enhancing the Two-Stream Framework for Efficient Visual Tracking,enhancing the two stream framework for efficient visual tracking,Chengao Zong,Chengao Zong and Xin Chen and Jie Zhao and Yang Liu and Huchuan Lu and Dong Wang,2025,IEEE Transactions on Image Processing,10.1109/tip.2025.3598934,UNKNOWN,69ac01ebd31a3a2945d1023803f712938a64b3d9,https://www.semanticscholar.org/paper/69ac01ebd31a3a2945d1023803f712938a64b3d9,https://doi.org/10.1109/tip.2025.3598934,JOURNAL_LISTED_UNVERIFIED,SUPPORTING,visual-tracking/tracker term in title or abstract,UNKNOWN,UNKNOWN,Lightweight backbone design; Asymmetric template-search architecture; Relation / cross-attention modeling,"Lightweight backbone design: edge device, lightweight | Asymmetric template-search architecture: two-stream | Relation / cross-attention modeling: feature fusion","Practical deployments, especially on resource-limited edge devices, necessitate high speed for visual object trackers. To meet this demand, we introduce a new efficient tracker with a Two-Stream architecture, named ToS. While the recent one-stream tracking framework, employing a unified backbone for simultaneous processing of both the template and search region, has demonstrated exceptional efficacy, we find the conventional two-stream tracking framework, which employs two separate backbones for the template and search region, offers inherent advantages. The two-stream tracking framework is more compatible with advanced lightweight backbones and can efficiently utilize benefits from large templates. We demonstrate that the two-stream setup can exceed the one-stream tracking model in both speed and accuracy through strategic designs. Our methodology rejuvenates the two-stream tracking paradigm with lightweight pre-trained backbones and the proposed three efficient strategies: 1) A feature-aggregation module that improves the representation capability of the backbone, 2) A channel-wise approach for feature fusion, presenting a more effective and lighter alternative to spatial concatenation techniques, and 3) An expanded template strategy to boost tracking accuracy with negligible additional computational cost. Extensive evaluations across multiple tracking benchmarks demonstrate that the proposed method sets a new state-of-the-art performance in efficient visual tracking.",34,5500-5512,40833897
FARTrack:34:d08d4172a380b917781cafe11a9060f4eec89138,FARTrack,E:\Robot_Backup\Tracker_Q1_Documents\ConnectedPapers-for-FARTrack%3A-Fast-Autoregressive-Visual-Tracking-with-High-Performance.bib,34,article,d08d4172a380b917781cafe11a9060f4eec89138,Efficient and Accurate Low-Resolution Transformer Tracking,efficient and accurate low resolution transformer tracking,Shaohua Dong,Shaohua Dong and Yunhe Feng and J. Liang and Qing Yang and Yuewei Lin and Heng Fan,2025,2025 IEEE/RSJ International Conference on Intelligent Robots and Systems (IROS),10.1109/iros60139.2025.11247730,UNKNOWN,d08d4172a380b917781cafe11a9060f4eec89138,https://www.semanticscholar.org/paper/d08d4172a380b917781cafe11a9060f4eec89138,https://doi.org/10.1109/iros60139.2025.11247730,CONFERENCE_LISTED_UNVERIFIED,SUPPORTING,visual-tracking/tracker term in title or abstract,YES,https://github.com/ShaohuaDong2021/LoReTrack,Model compression / distillation; Low-resolution / adaptive-resolution processing; Target-aware representation; Robustness / distractor handling; Training / loss redesign,"Model compression / distillation: distill | Low-resolution / adaptive-resolution processing: across resolutions, low resolution, low-resolution, smaller input | Target-aware representation: target-aware | Robustness / distractor handling: background | Training / loss redesign: knowledge distillation","High-performance Transformer trackers have exhibited excellent results, yet they often bear a heavy computational load. Observing that a smaller input can immediately and conveniently reduce computations without changing the model, an easy solution is to adopt a low-resolution input for efficient Transformer tracking. Albeit faster, this hurts tracking accuracy much due to the information loss in low resolution tracking. In this paper, we aim to mitigate such information loss to boost performance of low-resolution Transformer tracking via dual knowledge distillation from a frozen high-resolution (but not a larger) Transformer tracker. The core lies in two simple yet effective distillation modules, including query-key-value knowledge distillation (QKV-KD) and discrimination knowledge distillation (Disc-KD), across resolutions. The former, from the global view, allows the low-resolution tracker to inherit features and interactions from the high-resolution tracker, while the later, from the target-aware view, enhances the target-background distinguishing capacity via imitating discriminative regions from its high-resolution counterpart. With dual knowledge distillation, our Low-Resolution Transformer Tracker, dubbed LoReTrack, enjoys not only high efficiency owing to reduced computation but also enhanced accuracy by distilling knowledge from the high-resolution tracker. In extensive experiments, LoReTrack with a 2562 resolution consistently improves baseline with the same resolution, and shows competitive or better results compared to the 3842 high-resolution Transformer tracker, while running 52% faster and saving 56% MACs. Moreover, LoReTrack is resolution-scalable. With a 1282 resolution, it runs 25 fps on a CPU with SUC scores of 64.9%/46.4% on LaSOT/LaSOText, surpassing other CPU real-time trackers. Code is released at https://github.com/ShaohuaDong2021/LoReTrack.",UNKNOWN,20677-20684,UNKNOWN
FARTrack:35:9f5a7dec1b4107581ef76d7e43d36efa0480f622,FARTrack,E:\Robot_Backup\Tracker_Q1_Documents\ConnectedPapers-for-FARTrack%3A-Fast-Autoregressive-Visual-Tracking-with-High-Performance.bib,35,article,9f5a7dec1b4107581ef76d7e43d36efa0480f622,CSCL: Bridging the plasticity-stability gap in continuous supervised contrastive learning,cscl bridging the plasticity stability gap in continuous supervised contrastive learning,Yi Xiong,Yi Xiong and Liqi Xiang and Qianyue Cao and Zongwei Zhu and Zirui Lian and Jing Cao and Xuehai Zhou,2025,Neural networks : the official journal of the International Neural Network Society,10.1016/j.neunet.2025.108179,UNKNOWN,9f5a7dec1b4107581ef76d7e43d36efa0480f622,https://www.semanticscholar.org/paper/9f5a7dec1b4107581ef76d7e43d36efa0480f622,https://doi.org/10.1016/j.neunet.2025.108179,JOURNAL_LISTED_UNVERIFIED,OUT_OF_SCOPE,explicit non-visual/neuroscience term in BibTeX metadata,UNKNOWN,UNKNOWN,Training / loss redesign,Training / loss redesign: contrastive,"In real-world scenarios characterized by non-stationary data streams, Continual Learning (CL) aims to enable learners to acquire information from new classes without interrupting previously learned knowledge. Recently, several empirical studies have indicated that incorporating Supervised Contrastive Learning (SCL) into CL results in notable performance improvements. This paper delves into its underlying reason and theoretically suggests the SCL's potential to bolster the model's resistance to forgetting. However, despite the advancements, this paper also notes that models trained under SCL still exhibit challenges in learning plasticity and memory stability within representation space throughout the continual learning process. To address these challenges, this paper proposes a novel framework named Continual Supervised Contrastive Learning (CSCL). CSCL incorporates its key components, the De-redundant Interpolation Method and the Magnetic Force Method, into the SCL training paradigm, aiming to enhance the model's adaptability to new tasks and its ability to retain the knowledge of previously learned tasks. The De-redundant Interpolation Method enhances negative sample diversity through intra-class de-redundancy and inter-class linear interpolation, promoting better learning plasticityof new class representations. Concurrently, the Magnetic Force Method ensures inter-class separation via magnetic repulsion while fostering intra-class aggregation through magnetic attraction, thus forming a uniform distribution of all classes in latent space and supporting the memory stability of old class representations. Extensive experimental validations under popular benchmark image classification datasets indicate the advanced performance of the proposed framework. Additionally, the De-redundant Interpolation Method and Magnetic Force Method demonstrate their flexibility by seamlessly integrating with existing SCL-based continual learning frameworks as plug-ins, boosting classification accuracy by 2.20 to 15.56 points.",196,108179,41422756
FARTrack:36:2a7fd569e1c203f3ad25fcd1d8412b2efb3bbe6e,FARTrack,E:\Robot_Backup\Tracker_Q1_Documents\ConnectedPapers-for-FARTrack%3A-Fast-Autoregressive-Visual-Tracking-with-High-Performance.bib,36,article,2a7fd569e1c203f3ad25fcd1d8412b2efb3bbe6e,Autoregressive Sequential Pretraining for Visual Tracking,autoregressive sequential pretraining for visual tracking,Shiyi Liang,Shiyi Liang and Yifan Bai and Yihong Gong and Xing Wei,2025,2025 IEEE/CVF Conference on Computer Vision and Pattern Recognition (CVPR),10.1109/cvpr52734.2025.00680,UNKNOWN,2a7fd569e1c203f3ad25fcd1d8412b2efb3bbe6e,https://www.semanticscholar.org/paper/2a7fd569e1c203f3ad25fcd1d8412b2efb3bbe6e,https://doi.org/10.1109/cvpr52734.2025.00680,CONFERENCE_LISTED_UNVERIFIED,SUPPORTING,visual-tracking/tracker term in title or abstract,UNKNOWN,UNKNOWN,Dynamic / conditional computation; Autoregressive / sequence modeling; Motion modeling,"Dynamic / conditional computation: dynamic | Autoregressive / sequence modeling: autoregress | Motion modeling: motion, trajectory","Recent advancements in visual object tracking have shifted towards a sequential generation paradigm, where object deformation and motion exhibit strong temporal dependencies. Despite the importance of these dependencies, widely adopted image-level pretrained backbones barely capture the dynamics in the consecutive video, which is the essence of tracking. Thus, we propose AutoRegressive Sequential Pretraining (ARP), an unsupervised spatio-temporal learner, via generating the evolution of object appearance and motion in video sequences. Our method leverages a diffusion model to autoregressively generate the future frame appearance, conditioned on historical embeddings extracted by a general encoder. Furthermore, to ensure trajectory coherence, the same encoder is employed to learn trajectory consistency by generating coordinate sequences in a reverse autoregressive fashion, a process we term backtracking. Further, we integrate the pretrained ARP into AR-TrackV2, creating ARPTrack, which is further fine-tuned for tracking tasks. ARPTrack achieves state-of-the-art performance across multiple benchmarks, becoming the first tracker to surpass 80% AO on GOT-10k, while maintaining high efficiency. These results demonstrate the effectiveness of our approach in capturing temporal dependencies for continuous video tracking. The code will be released soon.",UNKNOWN,7254-7264,UNKNOWN
FARTrack:37:985ffbc91ee8d79b0530fd7003155b9aa1a03783,FARTrack,E:\Robot_Backup\Tracker_Q1_Documents\ConnectedPapers-for-FARTrack%3A-Fast-Autoregressive-Visual-Tracking-with-High-Performance.bib,37,article,985ffbc91ee8d79b0530fd7003155b9aa1a03783,RELO: Reinforcement Learning to Localize for Visual Object Tracking,relo reinforcement learning to localize for visual object tracking,Xin Chen,Xin Chen and Chuanyu Sun and Jiao Xu and Houwen Peng and Dong Wang and Huchuan Lu and Kede Ma,2026,ArXiv,10.48550/arxiv.2605.07379,2605.07379,985ffbc91ee8d79b0530fd7003155b9aa1a03783,https://www.semanticscholar.org/paper/985ffbc91ee8d79b0530fd7003155b9aa1a03783,https://doi.org/10.48550/arxiv.2605.07379,ARXIV_PREPRINT,SUPPORTING,visual-tracking/tracker term in title or abstract,UNKNOWN,UNKNOWN,Temporal context / video-level memory,Temporal context / video-level memory: across frames,"Conventional visual object trackers localize targets using handcrafted spatial priors, often in the form of heatmaps. Such priors provide only surrogate supervision and are poorly aligned with tracking optimization and evaluation metrics, such as intersection over union (IoU) and area under the success curve (AUC). Here, we introduce RELO, a REinforcement-learning-to-LOcalize method for visual object tracking that formulates target localization as a Markov decision process. Specifically, RELO replaces handcrafted spatial priors with a localization policy learned over spatial positions via reinforcement learning, with rewards combining frame-level IoU and sequence-level AUC. We additionally introduce layer-aligned temporal token propagation to improve semantic consistency across frames, with negligible computational overhead. Across multiple benchmarks, RELO achieves superior results, attaining 57.5% AUC on LaSOText without template updates. This confirms that reward-driven localization provides an effective alternative to prior-driven localization for visual object tracking.",abs/2605.07379,UNKNOWN,UNKNOWN
