id,source_type,title,year,stable_url,accessed_yyyy_mm_dd,used_for,important_limit
R22,conference paper,"UTPTrack: Towards Simple and Unified Token Pruning for Visual Tracking",2026,https://openaccess.thecvf.com/content/CVPR2026/html/Wu_UTPTrack_Towards_Simple_and_Unified_Token_Pruning_for_Visual_Tracking_CVPR_2026_paper.html,2026-08-24,"primary publication source for UTPTrack","official CVF source inspected does not display a DOI; no reproduction or Nano result"
R23,official code repository,"UTPTrack official implementation",2026,https://github.com/EIT-NLP/UTPTrack/tree/84e0f49711254a44f5308faaa9a2405db1964dd7,2026-08-24,"owner EIT-NLP; main at pinned commit; O/S code; four tracker checkpoints; benchmark protocols","OSTrack-derived O and SUTrack-derived S implementations must be pinned with model/config; pretraining is separate"
R24,conference paper,"GOT-Edit: Geometry-Aware Generic Object Tracking via Online Model Editing",2026,https://proceedings.iclr.cc/paper_files/paper/2026/hash/519c51529c3544b3430bd8b17d400365-Abstract-Conference.html,2026-08-24,"primary publication source for GOT-Edit","no DOI displayed; RGB-derived geometry still requires a separate geometry-backbone dependency"
R25,official code repository,"GOT official implementation for GOT-Edit and GOT-JEPA",2026,https://github.com/chenshihfang/GOT,2026-08-24,"owner chenshihfang; GOT-Edit current main b2ee0b9792db634a880189e8189542953af0d223; GOT-JEPA historical commit 84e9324317e4afe62c06b2c51a97563f79730a2e; code; models; evaluators","shared mutable multi-paper repository; commit must be selected by family; availability is not reproduction"
R26,journal article,"GOT-JEPA: Generic Object Tracking With Model Adaptation and Occlusion Handling Using Joint-Embedding Predictive Architecture",2026,https://doi.org/10.1109/TCSVT.2026.3675005,2026-08-24,"primary publication source for GOT-JEPA","publication source does not resolve current-versus-historical repository commit ambiguity"
R27,journal article,"SAMURAI: Motion-Aware Memory for Training-Free Visual Object Tracking With SAM 2",2026,https://doi.org/10.1109/TIP.2026.3651835,2026-08-24,"primary publication source for SAMURAI","training-free method; foundation weights are not a family-trained checkpoint"
R28,official code repository,"SAMURAI official implementation",2026,https://github.com/yangchris11/samurai/tree/76ba195984892b0d1e3db5d9c9f90bb62175680a,2026-08-24,"owner yangchris11; master at pinned commit; code; raw results; SAM 2.1 downloader; dataset inference","no SAMURAI-trained checkpoint; VOT integration marked incoming; live input unsupported; HG3 reconciliation flag"
R29,journal article,"Distractor-Aware Memory-Based Visual Object Tracking",2026,https://doi.org/10.1007/s11263-026-02790-7,2026-08-24,"primary journal source for DAM4SAM","journal extension of CVPR family; training-free SAM 2.1 modification"
R30,official code repository,"DAM4SAM official implementation",2026,https://github.com/jovanavidenovic/DAM4SAM/tree/9c954504b39ebca4c412f207be0787c26bfac85a,2026-08-24,"owner jovanavidenovic; master at pinned commit; code; VOT and bbox protocols; DiDi analysis","downloads SAM 2.1 base weights not a trained DAM4SAM checkpoint; HG3 reconciliation flag"
R31,conference paper,"Decoupled Spatio-Temporal Consistency Learning for Self-Supervised Tracking",2025,https://doi.org/10.1609/aaai.v39i10.33155,2026-08-24,"primary publication source for SSTrack-AAAI","self-supervised training still starts from separate DropMAE backbone pretraining"
R32,official code repository,"SSTrack official implementation",2025,https://github.com/GXNU-ZhongLab/SSTrack/tree/5dcf04ccb04f10ca4d78035373c8b8684bb8c4f5,2026-08-24,"owner GXNU-ZhongLab; main at pinned commit; code; models; raw results; evaluators","backbone pretraining is separate; RTX 2080 Ti speed is not Jetson Nano speed; availability is not reproduction"
R33,conference paper,"Exploring Enhanced Contextual Information for Video-Level Object Tracking",2025,https://doi.org/10.1609/aaai.v39i4.32440,2026-08-24,"primary publication source for MCITrack","publication evidence is separate from code availability and reproduction"
R34,official code repository,"MCITrack official implementation",2025,https://github.com/kangben258/MCITrack/tree/e667193eaec4c8a73d4bdd856a662aecdb844b43,2026-08-24,"owner kangben258; main at pinned commit; code; trained models; raw results/logs; evaluators","backbone pretraining is separate; remote assets are not successful reproduction"
R35,conference paper,"MambaLCT: Boosting Tracking via Long-term Context State Space Model",2025,https://doi.org/10.1609/aaai.v39i5.32528,2026-08-24,"primary publication source for MambaLCT","paper does not establish an end-to-end repository protocol"
R36,official code repository,"MambaLCT official implementation",2025,https://github.com/GXNU-ZhongLab/MambaLCT/tree/0457044f67a0a033b85c0447376fc4bde0cfc10d,2026-08-24,"owner GXNU-ZhongLab; main at pinned commit; code; model and raw-result links; test and analysis scripts","README lacks installation checkpoint-placement invocation and complete evaluation protocol; HG3 reconciliation flag"
R37,conference paper,"SUTrack: Towards Simple and Unified Single Object Tracking",2025,https://doi.org/10.1609/aaai.v39i2.32223,2026-08-24,"primary publication source for SUTrack","multimodal unified training must be distinguished from RGB inference"
R38,official code repository,"SUTrack official implementation",2025,https://github.com/chenxin-dlut/SUTrack/tree/d65052d1ba3fcf55010e1fb3665ee6616c139a2c,2026-08-24,"owner chenxin-dlut; main at pinned commit; code; five trained tracker checkpoints; RGB and multimodal protocols","backbone pretraining is separate; raw results pending; AGX speed is not Nano speed"
R39,conference paper,"Two-stream Beats One-stream: Asymmetric Siamese Network for Efficient Visual Tracking",2025,https://doi.org/10.1609/aaai.v39i10.33191,2026-08-24,"primary publication source for AsymTrack","publisher-reported hardware results are not Jetson Nano evidence"
R40,official code repository,"AsymTrack official implementation",2025,https://github.com/jiawen-zhu/AsymTrack/tree/a7b05e0c0d6116ccd7fa72270aa19053b7777204,2026-08-24,"owner jiawen-zhu; main at pinned commit; code; model/raw results; benchmark evaluation","backbone assets are separate; external model-folder availability is not reproduction"
R41,conference paper,"High-Performance Discriminative Tracking with Spatio-Temporal Template Fusion",2025,https://doi.org/10.1145/3746027.3755721,2026-08-24,"primary publication source for JDTrack","publication evidence does not identify the checkpoint file in the umbrella repository"
R42,official code repository,"VisTrack official umbrella implementation including JDTrack",2025,https://github.com/hexdjx/VisTrack/tree/f07acc942dfdc0bf78f437955a3ae1fc5e62b7fc,2026-08-24,"owner hexdjx; master at pinned commit; JDTrack code; shared model folder; GOT-10k and PySOT evaluators","multi-method umbrella; exact JDTrack checkpoint filename not identified; HG3 reconciliation flag"
R43,conference paper,"SPMTrack: Spatio-Temporal Parameter-Efficient Fine-Tuning with Mixture of Experts for Scalable Visual Tracking",2025,https://openaccess.thecvf.com/content/CVPR2025/html/Cai_SPMTrack_Spatio-Temporal_Parameter-Efficient_Fine-Tuning_with_Mixture_of_Experts_for_Scalable_CVPR_2025_paper.html,2026-08-24,"primary publication source for SPMTrack","official CVF source inspected does not display a DOI; variants do not imply checkpoint release"
R44,official code repository,"SPMTrack official implementation",2025,https://github.com/WenRuiCai/SPMTrack/tree/c581fe27231f3e16c38578e47daddadfaf6ffd7d,2026-08-24,"owner WenRuiCai; main at pinned commit; source; SPMTrack-B checkpoint; evaluation-only and server-submission protocols","only B checkpoint confirmed; L/G release remains pending"
R45,conference paper,"UMDATrack: Unified Multi-Domain Adaptive Tracking Under Adverse Weather Conditions",2025,https://openaccess.thecvf.com/content/ICCV2025/html/Yao_UMDATrack_Unified_Multi-Domain_Adaptive_Tracking_Under_Adverse_Weather_Conditions_ICCV_2025_paper.html,2026-08-24,"primary publication source for UMDATrack","official CVF source inspected does not display a DOI; RGB inference follows offline two-stage adaptation"
R46,official code repository,"UMDATrack official implementation",2025,https://github.com/Z-Z188/UMDATrack/tree/5d609bfcfb3a27161f9f4bd23bda518d6656909c,2026-08-24,"owner Z-Z188; main at pinned commit; two-stage code; mixed resource bundle; domain evaluation protocols","exact final checkpoint filename ambiguous in mixed bundle; offline adaptation cost distinct; HG3 reconciliation flag"
R47,journal article,"UncTrack: Reliable Visual Object Tracking With Uncertainty-Aware Prototype Memory Network",2025,https://doi.org/10.1109/TIP.2025.3559796,2026-08-24,"primary publication source for UncTrack","publication evidence is distinct from code availability and reproduction"
R48,official code repository,"UncTrack official implementation",2025,https://github.com/ManOfStory/UncTrack/tree/61bd4be673ac32dd8948f995ce4548855d0ab1d0,2026-08-24,"owner ManOfStory; main at pinned commit; code; models/raw results; benchmark and VOT protocols","UncTrack+AR has Alpha-Refine and VOT dependencies; availability is not reproduction"
R49,journal article,"Exploiting Lightweight Hierarchical ViT and Dynamic Framework for Efficient Visual Tracking",2025,https://doi.org/10.1007/s11263-025-02500-9,2026-08-24,"primary journal source for HiT-DyHiT","dynamic threshold changes operating point; AGX/NX evidence is not Jetson Nano evidence"
R50,official code repository,"HiT-DyHiT official implementation",2025,https://github.com/kangben258/HiT/tree/ca806400def2b9ab42628f7a7e941b188d89606f,2026-08-24,"owner kangben258; main at pinned commit; code; trained models/raw results; evaluators; ONNX utilities","asset folder combines variants and results; availability and AGX/NX results are not Nano reproduction"
R51,official code repository,"SiamABC official implementation",2025,https://github.com/wvuvl/SiamABC/tree/b1c94e06fdf2dd3cb14ed07b05e38aa4601ece03,2026-08-24,"owner wvuvl; default master at pinned commit; source; ten tracker models; single-video demo; separate main ba22faeec24344f4d43622eddf10e1d181d43922 is unrelated AEVT","benchmark evaluator imports absent local trees; usable protocol not verified; HG3 reconciliation flag"
R52,conference paper,"SEENN: Towards Temporal Spiking Early Exit Neural Networks",2023,https://proceedings.neurips.cc/paper_files/paper/2023/hash/c801e68207da477bbc44182b9fac1129-Abstract.html,2026-08-25,"input-conditioned SNN timestep allocation and temporal early exit; boundary on broad adaptive-SNN novelty language","classification/general SNN rather than RGB-SOT; no visual-tracking MRM or distractor-conditioned retrieval allocation"
R53,conference paper,"Towards Efficient Spiking Transformer: a Token Sparsification Framework for Training and Inference Acceleration",2024,https://proceedings.mlr.press/v235/zhuge24b.html,2026-08-25,"spiking-transformer token sparsification and temporal importance; boundary on broad adaptive-SNN novelty language","not visual tracking or an RGB-SOT MRM method; no distractor-conditioned retrieval allocation"
R54,conference paper,"Spiking Transformer with Experts Mixture",2024,https://proceedings.neurips.cc/paper_files/paper/2024/hash/137101016144540ed3191dc2b02f09a5-Abstract-Conference.html,2026-08-25,"conditional sparse expert computation in spiking transformers; boundary on broad adaptive-SNN novelty language","not visual tracking or an RGB-SOT MRM method; no template retrieval conditioned on distractor ambiguity"
R55,conference paper,"TP-Spikformer: Token Pruned Spiking Transformer",2026,https://openreview.net/forum?id=L5llQD0nMf,2026-08-25,"closest spiking-token and block-pruning adversary; event-based object-tracking coverage","event-based tracking is not generic RGB bbox-SOT MRM evidence; fixed criterion is not distractor-conditioned MRM allocation"
R56,conference paper,"Adaptive Capacity Autoregressive Visual Tracking",2026,https://openaccess.thecvf.com/content/CVPR2026/html/Lin_Adaptive_Capacity_Autoregressive_Visual_Tracking_CVPR_2026_paper.html,2026-08-25,"difficulty-conditioned high/low tracker capacity in the same autoregressive tracking setting","not MRM- or template-validity-specific; no SpikeTrack MRM allocation mechanism"
R57,conference paper,"Reading Relevant Feature from Global Representation Memory for Visual Object Tracking",2023,https://proceedings.neurips.cc/paper_files/paper/2023/hash/2349293cb1bf2ce36d5c566f660f957e-Abstract-Conference.html,2026-08-25,"search-conditioned historical reference selection with redundancy and compute control","fixed memory/token quotas; no SpikeTrack MRM ambiguity allocation or calibrated whole-template active count"
R58,journal article,"ATPTrack: Visual Tracking with Alternating Token Pruning of Dynamic Templates and Search Region",2025,https://doi.org/10.1016/j.neucom.2025.129534,2026-08-25,"physical dynamic-template and search-region token pruning for robustness and compute","fixed template inventory and pruning schedule; no calibrated whole-template validity or post-disappearance variable active count"
R59,conference paper,"Less Is More: Token Context-Aware Learning for Object Tracking",2025,https://doi.org/10.1609/aaai.v39i8.32954,2026-08-25,"autoregressive high-quality reference-token retention and redundant-token removal for robustness and compute","fixed top-k token budget; no whole-template validity or variable active template count"
R60,conference paper,"Exploring Reliable Spatiotemporal Dependencies for Efficient Visual Tracking",2026,https://doi.org/10.1609/aaai.v40i11.37853,2026-08-25,"quality-based reliable spatiotemporal memory maintenance and physical low-quality-token eviction","fixed memory capacity; no FARTrack whole-template absence validity or variable active-template compute policy"
R61,conference paper,"Drift-Resilient Temporal Priors for Visual Tracking",2026,https://openaccess.thecvf.com/content/CVPR2026/html/Huang_Drift-Resilient_Temporal_Priors_for_Visual_Tracking_CVPR_2026_paper.html,2026-08-25,"per-frame temporal reliability calibration and compact dynamic priors","fixed historical slots; no physical raw-template removal or variable FARTrack active-template compute policy"
R62,conference paper,"An Efficient Token Compression Framework for Visual Object Tracking",2026,https://openaccess.thecvf.com/content/CVPR2026/html/Wu_An_Efficient_Token_Compression_Framework_for_Visual_Object_Tracking_CVPR_2026_paper.html,2026-08-25,"physical historical-template token compression coupling efficiency and representation quality","fixed token-level compression; no explicit whole-template validity variable or scenario-dynamic active count"
R63,arXiv preprint,"BackTrack: Robust Template Update via Backward Tracking of Candidate Template",2023,https://arxiv.org/abs/2308.10604,2026-08-25,"explicit candidate-template validity and rejection of unreliable updates","ARXIV-ONLY and not peer reviewed; rejecting a write does not physically vary multi-template inference compute"
R64,conference paper,"Learning Quality-Aware Dynamic Memory for Video Object Segmentation",2022,https://www.ecva.net/papers/eccv_2022/papers_ECCV/html/4636_ECCV_2022_paper.php,2026-08-25,"adjacent VOS prior art; quality-aware frame admission and eviction with bounded memory","video object segmentation; not generic bbox-SOT baseline evidence or FARTrack template-attention compute evidence"
R65,conference paper,"RMem: Restricted Memory Banks Improve Video Object Segmentation",2024,https://openaccess.thecvf.com/content/CVPR2024/html/Zhou_RMem_Restricted_Memory_Banks_Improve_Video_Object_Segmentation_CVPR_2024_paper.html,2026-08-25,"adjacent VOS prior art; physical restricted-memory selection under redundant history","video object segmentation; not generic bbox-SOT baseline evidence; fixed bank bound is not validity-calibrated variable compute"
R66,conference paper,"Learning Policies for Adaptive Tracking With Deep Feature Cascades",2017,https://openaccess.thecvf.com/content_ICCV_2017/papers/Huang_Learning_Policies_for_ICCV_2017_paper.pdf,2026-08-25,"foundational frame-difficulty-conditioned feature-depth allocation in SOT","generic SOT feature-cascade policy; no AsymTrack T/S/B family or HiT-DyHiT named routes"
R67,conference paper,"Depth-Adaptive Computational Policies for Efficient Visual Tracking",2018,https://doi.org/10.1007/978-3-319-78199-0_8,2026-08-25,"foundational cost-aware tracker-depth policy under object and frame difficulty","generic SOT adaptive depth from revised EMMCVPR 2017 proceedings; no AsymTrack T/S/B family or HiT-DyHiT named routes"
R68,journal article,"Exploring Dynamic Transformer for Efficient Object Tracking",2025,https://doi.org/10.1109/TNNLS.2025.3545752,2026-08-25,"easy/hard dynamic route allocation and attribute-conditioned compute in SOT","generic RGB SOT dynamic routing; no AsymTrack T/S/B family or HiT-DyHiT named routes"
R69,journal article,"Adaptively Bypassing Vision Transformer Blocks for Efficient Visual Tracking",2025,https://doi.org/10.1016/j.patcog.2024.111278,2026-08-25,"target- and scene-dependent transformer-block bypassing in generic SOT","generic RGB SOT block routing; no AsymTrack T/S/B family or HiT-DyHiT named routes"
R70,conference paper,"Learning Adaptive and View-Invariant Vision Transformer for Real-Time UAV Tracking",2024,https://proceedings.mlr.press/v235/li24ax.html,2026-08-25,"adaptive block activation and view-invariant representation for UAV tracking","UAV-oriented mechanism and novelty-boundary evidence only; not generic RGB-SOT benchmark equivalence"
R71,conference paper,"Similarity-Guided Layer-Adaptive Vision Transformer for UAV Tracking",2025,https://openaccess.thecvf.com/content/CVPR2025/html/Xue_Similarity-Guided_Layer-Adaptive_Vision_Transformer_for_UAV_Tracking_CVPR_2025_paper.html,2026-08-25,"similarity-guided layer-adaptive capacity and representation-redundancy control","UAV-oriented mechanism and novelty-boundary evidence only; not generic RGB-SOT benchmark equivalence"
R72,journal article,"Learning Motion Blur Robust Vision Transformers for Real-Time UAV Tracking",2026,https://doi.org/10.1016/j.eswa.2025.129445,2026-08-25,"dynamic early exit with motion-blur and fast-motion robustness for UAV tracking","UAV-oriented mechanism and novelty-boundary evidence only; not generic RGB-SOT benchmark equivalence"
R73,journal article,"Efficient Early Exit Single Object Tracking via General Distribution",2026,https://doi.org/10.1016/j.neucom.2025.131888,2026-08-25,"generic SOT early exit conditioned by object/background distinguishability","does not implement AsymTrack family switching or paired HiT-DyHiT forced-route regret measurement"
R74,conference paper,"Adaptive Depth Lightweight RGB-T Tracking with Holistic Token Routing",2026,https://openaccess.thecvf.com/content/CVPR2026/html/Ding_Adaptive_Depth_Lightweight_RGB-T_Tracking_with_Holistic_Token_Routing_CVPR_2026_paper.html,2026-08-25,"confidence-calibrated tracking early exit and adaptive depth","RGB-T tracking and not RGB-only; route topology is not HiT-DyHiT named depth routing"
R75,arXiv preprint,"Uncertainty-Guided Inference-Time Depth Adaptation for Transformer-Based Visual Tracking",2026,https://arxiv.org/abs/2602.16160,2026-08-25,"uncertainty- and temporal-feedback-guided inference-depth adaptation in visual tracking","ARXIV-ONLY preprint and not peer reviewed; does not establish HiT-DyHiT named routes"
R76,conference paper,"MVLM: Template-Free Tracking via Vision-Language Margin Confidence and Memory-Gated Tracking",2026,https://openaccess.thecvf.com/content/CVPR2026/html/Park_MVLM_Template-Free_Tracking_via_Vision-Language_Margin_Confidence_and_Memory-Gated_Tracking_CVPR_2026_paper.html,2026-08-25,"target-competitor margin and memory gating of compact local versus global re-localization modes","vision-language/template-free tracking; local/global spatial mode gating is not HiT-DyHiT depth routing"
R77,conference paper,"Fixing Overconfidence in Dynamic Neural Networks",2024,https://openaccess.thecvf.com/content/WACV2024/html/Meronen_Fixing_Overconfidence_in_Dynamic_Neural_Networks_WACV_2024_paper.html,2026-08-25,"adjacent calibration prior for overconfident dynamic-network exit decisions","dynamic image classification; adjacent non-tracking calibration and not visual-tracking evidence"
